ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,13.12637,species,unclassified
818,1.20621,species,Bacteroides thetaiotaomicron
820,1.33103,species,Bacteroides uniformis
821,3.78569,species,Phocaeicola vulgatus
823,0.94597,species,Parabacteroides distasonis
853,0.47778,species,Faecalibacterium prausnitzii
1304,0.01644,species,Streptococcus salivarius
1318,0.02811,species,Streptococcus parasanguinis
28026,0.03013,species,Bifidobacterium pseudocatenulatum
28037,0.00146,species,Streptococcus mitis
28052,0.11096,species,Lachnospira pectinoschiza
28116,0.46025,species,Bacteroides ovatus
28117,15.33347,species,Alistipes putredinis
28118,3.06887,species,Odoribacter splanchnicus
29466,0.04196,species,Veillonella parvula
33025,0.04586,species,Phascolarctobacterium faecium
33043,0.93249,species,Coprococcus eutactus
35833,0.26895,species,Bilophila wadsworthia
39485,0.02652,species,Lachnospira eligens
39490,0.02446,species,Eubacterium ramulus
39491,2.35379,species,Agathobacter rectalis
39496,0.02585,species,Eubacterium ventriosum
39777,0.02049,species,Veillonella atypica
39778,0.01057,species,Veillonella dispar
40518,0.05442,species,Ruminococcus bromii
40520,0.01918,species,Blautia obeum
40545,2.62644,species,Sutterella wadsworthensis
46228,0.08083,species,[Ruminococcus] lactaris
46503,0.81193,species,Parabacteroides merdae
46506,0.5422,species,Bacteroides stercoris
47678,0.83733,species,Bacteroides caccae
74426,0.02487,species,Collinsella aerofaciens
88431,0.03558,species,Dorea longicatena
113107,0.00708,species,Streptococcus australis
165179,29.48259,species,Segatella copri
204516,1.67503,species,Phocaeicola massiliensis
246787,0.02774,species,Bacteroides cellulosilyticus
253257,0.00585,species,Lacrimispora amygdalina
290055,0.02604,species,Faecalicatena fissicatena
291645,0.02364,species,Bacteroides nordii
292800,0.01212,species,Flavonifractor plautii
301301,0.04891,species,Roseburia hominis
301302,0.09766,species,Roseburia faecis
310297,6.35214,species,Phocaeicola plebeius
310298,1.35367,species,Phocaeicola coprocola
328813,0.19331,species,Alistipes onderdonkii
328814,0.97542,species,Alistipes shahii
338188,1.6213,species,Bacteroides finegoldii
351091,0.74225,species,Oscillibacter valericigenes
360807,0.64545,species,Roseburia inulinivorans
371601,0.01548,species,Bacteroides xylanisolvens
410072,0.07057,species,Coprococcus comes
418240,0.00937,species,Blautia wexlerae
423477,0.01919,species,Veillonella rogosae
437897,0.0101,species,Megamonas funiformis
454154,0.3324,species,Paraprevotella clara
474960,0.00161,species,Hydrogenoanaerobacterium saccharovorans
487174,0.61868,species,Barnesiella intestinihominis
487175,0.01754,species,Parasutterella excrementihominis
536633,0.00515,species,Blautia glucerasea
544644,0.01357,species,Butyricimonas synergistica
544645,0.1582,species,Butyricimonas virosa
592978,0.04698,species,Mediterraneibacter faecis
626932,0.08864,species,Alistipes indistinctus
745368,0.21201,species,Gemmiger formicilis
1150298,0.00802,species,Fusicatenibacter saccharivorans
1217282,0.00478,species,Parabacteroides faecis
1463165,0.00301,species,Klebsiella quasipneumoniae
1472416,0.16062,species,Butyricimonas faecihominis
1501392,0.04185,species,Coprobacter secundus
1519439,1.43221,species,Oscillibacter sp. ER4
1628085,0.01225,species,Agathobaculum butyriciproducens
1898204,0.01253,species,Clostridiaceae bacterium
1982626,0.00197,species,Faecalibacillus intestinalis
2049045,0.00012,species,Eubacteriaceae bacterium
2093857,0.05611,species,Dysosmobacter welbionis
2108523,0.00416,species,Lawsonibacter asaccharolyticus
2126740,0.02355,species,Clostridium fessum
2211183,0.02803,species,Evtepia gabavorous
2292182,0.0163,species,Clostridiaceae bacterium AF18-31LB
2292190,0.06243,species,Alistipes sp. AF17-16
2292201,0.00463,species,Clostridium sp. AF12-28
2292205,0.00255,species,Clostridium sp. AF20-17LB
2292271,0.01698,species,Lachnospiraceae bacterium AM48-27BH
2292272,0.14117,species,Lachnospiraceae bacterium OM04-12BH
2293035,0.05761,species,Clostridium sp. AM49-4BH
2358141,0.58844,species,Anaerotignum faecicola
2485925,0.03688,species,Oscillospiraceae bacterium
2500537,0.12048,species,Candidatus Cibiobacter qucibialis
2509240,0.00216,species,Blautia faecicola
2582419,0.38312,species,Dialister hominis
2714355,0.06219,species,Vescimonas coprocola
2735723,0.00049,species,Turicibacter bilis
2763051,0.03341,species,Lachnospira hominis (ex Liu et al. 2021)
2763052,0.00691,species,Lawsonibacter faecis
2763670,0.10018,species,Wujia chipingensis
2763672,0.28183,species,Simiaoa sunii
2830655,0.00018,species,Oscillospiraceae bacterium Marseille-Q3528
2830657,0.0029,species,Clostridiaceae bacterium Marseille-Q4143
2841509,0.00059,species,Butyricicoccus intestinisimiae
2841521,0.04157,species,Anaerotignum sp. MSJ-24
2841526,0.23828,species,Oscillibacter sp. MSJ-31
2881266,0.0276,species,Faecalibacterium butyricigenerans
2881276,0.00022,species,Fusicatenibacter faecihominis
2883268,0.10669,species,Colidextribacter sp. 210702-DFI.3.9
2883295,0.02513,species,bacterium 210917-DFI.7.65
2885350,0.08144,species,Gallintestinimicrobium propionicum
2981769,2.15228,species,Waltera acetigignens
