ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,1.82031,species,unclassified
817,0.2251,species,Bacteroides fragilis
818,1.09065,species,Bacteroides thetaiotaomicron
820,7.09539,species,Bacteroides uniformis
821,42.3298,species,Phocaeicola vulgatus
823,1.97311,species,Parabacteroides distasonis
853,1.91011,species,Faecalibacterium prausnitzii
1304,0.04932,species,Streptococcus salivarius
1318,0.06379,species,Streptococcus parasanguinis
1735,0.03858,species,Holdemanella biformis
28111,0.38829,species,Bacteroides eggerthii
28116,6.57631,species,Bacteroides ovatus
28118,0.55911,species,Odoribacter splanchnicus
33025,0.47084,species,Phascolarctobacterium faecium
33039,0.1149,species,[Ruminococcus] torques
39486,0.06153,species,Dorea formicigenerans
39488,0.06666,species,Anaerobutyricum hallii
39490,0.02828,species,Eubacterium ramulus
39491,1.78348,species,Agathobacter rectalis
39778,0.07347,species,Veillonella dispar
40520,0.01022,species,Blautia obeum
46503,1.10123,species,Parabacteroides merdae
46506,11.17656,species,Bacteroides stercoris
47678,1.47598,species,Bacteroides caccae
74426,0.01028,species,Collinsella aerofaciens
88431,0.33413,species,Dorea longicatena
166486,1.83235,species,Roseburia intestinalis
204516,3.26345,species,Phocaeicola massiliensis
214856,0.76434,species,Alistipes finegoldii
216816,0.15728,species,Bifidobacterium longum
246787,0.00902,species,Bacteroides cellulosilyticus
253257,0.2357,species,Lacrimispora amygdalina
290055,0.15536,species,Faecalicatena fissicatena
291645,0.0926,species,Bacteroides nordii
292800,0.07947,species,Flavonifractor plautii
301301,0.00176,species,Roseburia hominis
301302,1.08092,species,Roseburia faecis
328814,1.37976,species,Alistipes shahii
338188,1.20067,species,Bacteroides finegoldii
351091,1.59677,species,Oscillibacter valericigenes
360807,0.06861,species,Roseburia inulinivorans
371601,0.07595,species,Bacteroides xylanisolvens
410072,0.01853,species,Coprococcus comes
418240,0.37765,species,Blautia wexlerae
474960,0.04481,species,Hydrogenoanaerobacterium saccharovorans
487175,1.57731,species,Parasutterella excrementihominis
544645,0.0273,species,Butyricimonas virosa
592978,0.09093,species,Mediterraneibacter faecis
649756,0.56977,species,Anaerostipes hadrus
745368,0.09568,species,Gemmiger formicilis
871664,0.07963,species,Blautia stercoris
1150298,0.61723,species,Fusicatenibacter saccharivorans
1472416,0.79791,species,Butyricimonas faecihominis
1550024,0.08553,species,Ruthenibacterium lactatiformans
1628085,0.05742,species,Agathobaculum butyriciproducens
1715004,0.01933,species,Clostridiales bacterium KLE1615
1720194,0.02396,species,Clostridium sp. AT4
1737424,0.12378,species,Blautia massiliensis (ex Durand et al. 2017)
1898204,0.32461,species,Clostridiaceae bacterium
1898207,0.1092,species,Clostridiales bacterium
2044939,0.21687,species,Clostridia bacterium
2093857,0.00873,species,Dysosmobacter welbionis
2292304,0.04949,species,Clostridium sp. AM33-3
2292991,1.04943,species,Catenibacterium sp. AM22-15
2293024,0.23535,species,Clostridium sp. AM22-11AC
2652276,0.0346,species,Holdemanella porci
2830657,0.03588,species,Clostridiaceae bacterium Marseille-Q4143
2830659,0.2286,species,Clostridiaceae bacterium Marseille-Q4149
2885357,0.15686,species,Hominenteromicrobium mulieris
2981769,0.1222,species,Waltera acetigignens
