ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,3.84479,species,unclassified
562,0.0138,species,Escherichia coli
573,0.02738,species,Klebsiella pneumoniae
729,0.00251,species,Haemophilus parainfluenzae
818,2.34393,species,Bacteroides thetaiotaomicron
820,0.04518,species,Bacteroides uniformis
821,58.61999,species,Phocaeicola vulgatus
823,1.80172,species,Parabacteroides distasonis
850,0.02422,species,Fusobacterium mortiferum
853,12.93412,species,Faecalibacterium prausnitzii
1304,0.03233,species,Streptococcus salivarius
1512,0.05464,species,[Clostridium] symbiosum
1522,0.00808,species,[Clostridium] innocuum
28026,0.91748,species,Bifidobacterium pseudocatenulatum
28052,0.45737,species,Lachnospira pectinoschiza
28111,0.03521,species,Bacteroides eggerthii
28116,0.00244,species,Bacteroides ovatus
28117,0.07266,species,Alistipes putredinis
29361,0.01725,species,[Clostridium] nexile
33025,0.02833,species,Phascolarctobacterium faecium
33038,0.48872,species,Mediterraneibacter gnavus
33039,0.0346,species,[Ruminococcus] torques
39485,0.02348,species,Lachnospira eligens
39491,0.00273,species,Agathobacter rectalis
40518,0.01791,species,Ruminococcus bromii
40545,0.05166,species,Sutterella wadsworthensis
46503,1.18868,species,Parabacteroides merdae
46506,0.11107,species,Bacteroides stercoris
47678,0.01223,species,Bacteroides caccae
84112,0.11875,species,Eggerthella lenta
154046,0.08593,species,Hungatella hathewayi
165179,0.41668,species,Segatella copri
204516,0.18663,species,Phocaeicola massiliensis
208224,0.0047,species,Enterobacter kobei
208479,0.10848,species,Enterocloster bolteae
216816,0.12108,species,Bifidobacterium longum
246787,0.0063,species,Bacteroides cellulosilyticus
253257,0.75817,species,Lacrimispora amygdalina
292800,5.12971,species,Flavonifractor plautii
301302,1.53054,species,Roseburia faecis
310297,0.23143,species,Phocaeicola plebeius
310298,0.12547,species,Phocaeicola coprocola
328812,0.2379,species,Parabacteroides goldsteinii
328813,0.00096,species,Alistipes onderdonkii
328814,0.00204,species,Alistipes shahii
338188,0.005,species,Bacteroides finegoldii
357276,0.08304,species,Phocaeicola dorei
358742,0.39367,species,Enterocloster aldenensis
360807,0.02064,species,Roseburia inulinivorans
363265,0.0665,species,Leyella stercorea
418240,0.00466,species,Blautia wexlerae
454154,0.00734,species,Paraprevotella clara
454155,0.00191,species,Paraprevotella xylaniphila
592978,0.03477,species,Mediterraneibacter faecis
871665,0.00539,species,Blautia faecis
1150298,1.42578,species,Fusicatenibacter saccharivorans
1160721,0.10787,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1720194,0.26992,species,Clostridium sp. AT4
1737424,0.02086,species,Blautia massiliensis (ex Durand et al. 2017)
1852370,0.01654,species,Prevotellamassilia timonensis
1898204,0.14954,species,Clostridiaceae bacterium
2126740,0.01133,species,Clostridium fessum
2292075,4.24356,species,Sutterella sp. AM11-39
2293024,0.00156,species,Clostridium sp. AM22-11AC
2358141,0.35759,species,Anaerotignum faecicola
2564099,0.16501,species,Ruminococcus bovis
2763670,0.00188,species,Wujia chipingensis
2763672,0.00654,species,Simiaoa sunii
2779352,0.02034,species,Pseudoflavonifractor gallinarum
2883295,0.27431,species,bacterium 210917-DFI.7.65
2981769,0.02516,species,Waltera acetigignens
