ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,12.73337,species,unclassified
729,0.02716,species,Haemophilus parainfluenzae
820,2.20468,species,Bacteroides uniformis
821,2.77114,species,Phocaeicola vulgatus
823,0.20014,species,Parabacteroides distasonis
853,2.36027,species,Faecalibacterium prausnitzii
1318,0.07332,species,Streptococcus parasanguinis
1535,0.02939,species,[Clostridium] leptum
1735,0.03009,species,Holdemanella biformis
28116,1.44955,species,Bacteroides ovatus
28117,0.50617,species,Alistipes putredinis
33043,0.14577,species,Coprococcus eutactus
39486,0.0026,species,Dorea formicigenerans
39488,0.00658,species,Anaerobutyricum hallii
39490,0.00209,species,Eubacterium ramulus
39491,0.83823,species,Agathobacter rectalis
39492,0.13506,species,[Eubacterium] siraeum
39496,0.00236,species,Eubacterium ventriosum
40545,0.70234,species,Sutterella wadsworthensis
46503,0.46504,species,Parabacteroides merdae
46506,0.22329,species,Bacteroides stercoris
47678,0.02913,species,Bacteroides caccae
88431,0.03768,species,Dorea longicatena
89014,0.01271,species,Blautia luti
113107,0.00035,species,Streptococcus australis
116085,0.00763,species,Coprococcus catus
165179,34.70646,species,Segatella copri
166486,0.71567,species,Roseburia intestinalis
204516,0.15615,species,Phocaeicola massiliensis
249188,0.2486,species,Haemophilus pittmaniae
253257,0.01448,species,Lacrimispora amygdalina
290055,0.05146,species,Faecalicatena fissicatena
301302,0.29991,species,Roseburia faecis
310297,9.75519,species,Phocaeicola plebeius
310298,3.06021,species,Phocaeicola coprocola
328814,1.20242,species,Alistipes shahii
329854,0.76811,species,Bacteroides intestinalis
351091,0.65892,species,Oscillibacter valericigenes
357276,0.34378,species,Phocaeicola dorei
360807,0.15348,species,Roseburia inulinivorans
410072,0.04465,species,Coprococcus comes
418240,0.04418,species,Blautia wexlerae
454154,1.72935,species,Paraprevotella clara
474960,0.04442,species,Hydrogenoanaerobacterium saccharovorans
487174,0.44397,species,Barnesiella intestinihominis
536633,0.01702,species,Blautia glucerasea
544645,0.06938,species,Butyricimonas virosa
572010,0.02339,species,Slackia isoflavoniconvertens
592978,0.09638,species,Mediterraneibacter faecis
626929,0.08187,species,Bacteroides clarus
626932,0.02212,species,Alistipes indistinctus
649756,0.0032,species,Anaerostipes hadrus
745368,0.1718,species,Gemmiger formicilis
871664,0.00081,species,Blautia stercoris
871665,0.00365,species,Blautia faecis
1150298,0.16674,species,Fusicatenibacter saccharivorans
1160721,0.07246,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1288121,0.30399,species,Alistipes senegalensis
1297617,0.01083,species,Intestinimonas butyriciproducens
1468449,0.00712,species,Holdemania massiliensis
1470347,0.07043,species,Alistipes ihumii
1472417,0.06157,species,Butyricimonas paravirosa
1519439,1.45059,species,Oscillibacter sp. ER4
1550024,0.01502,species,Ruthenibacterium lactatiformans
1628085,0.03864,species,Agathobaculum butyriciproducens
1715004,0.01574,species,Clostridiales bacterium KLE1615
1737424,0.08736,species,Blautia massiliensis (ex Durand et al. 2017)
1852370,9.51625,species,Prevotellamassilia timonensis
1898203,0.00876,species,Lachnospiraceae bacterium
1898204,0.0143,species,Clostridiaceae bacterium
1944635,0.00117,species,Sutterella seckii
1965631,0.52569,species,Alistipes sp. An31A
2093857,0.09699,species,Dysosmobacter welbionis
2108523,0.31411,species,Lawsonibacter asaccharolyticus
2126740,0.02359,species,Clostridium fessum
2137581,0.00674,species,Ellagibacter isourolithinifaciens
2292075,0.17594,species,Sutterella sp. AM11-39
2292182,0.0443,species,Clostridiaceae bacterium AF18-31LB
2292190,0.01676,species,Alistipes sp. AF17-16
2292201,0.01514,species,Clostridium sp. AF12-28
2292205,0.03009,species,Clostridium sp. AF20-17LB
2292271,0.01771,species,Lachnospiraceae bacterium AM48-27BH
2292272,0.00398,species,Lachnospiraceae bacterium OM04-12BH
2292304,0.0064,species,Clostridium sp. AM33-3
2293015,0.21481,species,Clostridium sp. AF36-4
2293024,0.00848,species,Clostridium sp. AM22-11AC
2358141,0.02155,species,Anaerotignum faecicola
2485925,0.18465,species,Oscillospiraceae bacterium
2500537,0.15308,species,Candidatus Cibiobacter qucibialis
2585118,0.86889,species,Alistipes communis
2592640,0.0006,species,Blautia sp. MCC283
2606633,0.03486,species,Oliverpabstia intestinalis
2714355,0.01328,species,Vescimonas coprocola
2763061,0.04136,species,Roseburia lenta
2763664,0.01534,species,Jutongia hominis
2763672,0.11646,species,Simiaoa sunii
2830655,0.00348,species,Oscillospiraceae bacterium Marseille-Q3528
2830657,0.02046,species,Clostridiaceae bacterium Marseille-Q4143
2830658,0.01459,species,Clostridiaceae bacterium Marseille-Q4145
2830659,0.35353,species,Clostridiaceae bacterium Marseille-Q4149
2841526,0.46578,species,Oscillibacter sp. MSJ-31
2841532,0.00278,species,Intestinimonas sp. MSJ-38
2881276,0.0612,species,Fusicatenibacter faecihominis
2883268,0.03069,species,Colidextribacter sp. 210702-DFI.3.9
2885350,0.20135,species,Gallintestinimicrobium propionicum
2885357,0.01488,species,Hominenteromicrobium mulieris
2929491,0.17844,species,Faecalibacterium wellingii
2951805,1.64207,species,Parabacteroides absconsus
2981769,2.29184,species,Waltera acetigignens
