ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,0.5771,species,unclassified
573,0.00374,species,Klebsiella pneumoniae
817,0.32844,species,Bacteroides fragilis
818,5.24192,species,Bacteroides thetaiotaomicron
820,5.03656,species,Bacteroides uniformis
821,17.23159,species,Phocaeicola vulgatus
823,5.23854,species,Parabacteroides distasonis
853,0.30957,species,Faecalibacterium prausnitzii
1304,0.00232,species,Streptococcus salivarius
1308,0.00389,species,Streptococcus thermophilus
1318,0.00132,species,Streptococcus parasanguinis
1531,0.13129,species,Enterocloster clostridioformis
1535,0.02849,species,[Clostridium] leptum
1547,0.14365,species,Thomasclavelia ramosa
1680,0.65529,species,Bifidobacterium adolescentis
1681,0.87584,species,Bifidobacterium bifidum
1685,0.00588,species,Bifidobacterium breve
28111,0.00234,species,Bacteroides eggerthii
28116,4.68226,species,Bacteroides ovatus
28117,1.79896,species,Alistipes putredinis
28118,0.57053,species,Odoribacter splanchnicus
29347,0.25676,species,[Clostridium] scindens
29466,0.00554,species,Veillonella parvula
33035,0.03163,species,Blautia producta
33038,0.81494,species,Mediterraneibacter gnavus
33039,0.60807,species,[Ruminococcus] torques
35833,0.25692,species,Bilophila wadsworthia
39491,5.09809,species,Agathobacter rectalis
39778,0.00159,species,Veillonella dispar
40545,2.93165,species,Sutterella wadsworthensis
46506,0.00282,species,Bacteroides stercoris
47678,4.41016,species,Bacteroides caccae
53443,0.02956,species,Blautia hydrogenotrophica
74426,0.79394,species,Collinsella aerofaciens
84112,0.07897,species,Eggerthella lenta
105843,1.00905,species,Anaerobutyricum soehngenii
154046,0.01577,species,Hungatella hathewayi
169435,0.03282,species,Anaerotruncus colihominis
187326,0.45539,species,Megasphaera micronuciformis
187327,1.59413,species,Acidaminococcus intestini
208479,0.42708,species,Enterocloster bolteae
214856,0.26927,species,Alistipes finegoldii
216816,1.07085,species,Bifidobacterium longum
218538,3.68683,species,Dialister invisus
253257,0.3132,species,Lacrimispora amygdalina
270498,0.00372,species,Christensenella hongkongensis
292800,0.31351,species,Flavonifractor plautii
301301,0.01716,species,Roseburia hominis
328813,1.32623,species,Alistipes onderdonkii
342942,0.06265,species,Mediterraneibacter glycyrrhizinilyticus
358742,0.02122,species,Enterocloster aldenensis
358743,0.02523,species,Enterocloster citroniae
418240,4.7493,species,Blautia wexlerae
487175,0.11802,species,Parasutterella excrementihominis
536633,0.05379,species,Blautia glucerasea
626929,15.58211,species,Bacteroides clarus
649756,3.7426,species,Anaerostipes hadrus
671267,0.00118,species,Phocaeicola sartorii
674529,0.00114,species,Bacteroides faecis
871665,0.08052,species,Blautia faecis
1150298,1.48183,species,Fusicatenibacter saccharivorans
1335613,0.0277,species,Gordonibacter urolithinfaciens
1432052,0.02391,species,Eisenbergiella tayi
1468449,0.01305,species,Holdemania massiliensis
1550024,0.00975,species,Ruthenibacterium lactatiformans
1653434,0.03018,species,Sellimonas intestinalis
1697794,0.08245,species,Clostridia bacterium UC5.1-1D1
1720194,0.08,species,Clostridium sp. AT4
1796615,0.1921,species,Blautia caecimuris
1841867,0.00303,species,Merdimmobilis hominis
1870991,0.00245,species,Massilioclostridium coli
1898204,0.86044,species,Clostridiaceae bacterium
1912855,0.72481,species,Faecalimonas umbilicata
2093857,0.33547,species,Dysosmobacter welbionis
2108523,0.28563,species,Lawsonibacter asaccharolyticus
2126740,0.8504,species,Clostridium fessum
2211183,0.14769,species,Evtepia gabavorous
2293024,1.57093,species,Clostridium sp. AM22-11AC
2358141,0.0298,species,Anaerotignum faecicola
2364792,0.04094,species,Intestinibacillus sp. Marseille-P6563
2606640,0.02892,species,Victivallis lenta
2763667,0.01197,species,Wansuia hejianensis
2764712,0.0014,species,Lentihominibacter faecis
2834112,0.0022,species,Bacteroides propionicigenes
