ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,14.97806,species,unclassified
818,1.15773,species,Bacteroides thetaiotaomicron
820,10.18952,species,Bacteroides uniformis
821,26.6326,species,Phocaeicola vulgatus
853,2.1116,species,Faecalibacterium prausnitzii
1304,0.00365,species,Streptococcus salivarius
1308,0.07382,species,Streptococcus thermophilus
28052,0.80436,species,Lachnospira pectinoschiza
28116,2.73049,species,Bacteroides ovatus
28117,4.5829,species,Alistipes putredinis
28118,0.69008,species,Odoribacter splanchnicus
33038,0.0274,species,Mediterraneibacter gnavus
33039,0.00211,species,[Ruminococcus] torques
33043,1.5857,species,Coprococcus eutactus
35833,0.22284,species,Bilophila wadsworthia
39485,1.16842,species,Lachnospira eligens
39486,0.03464,species,Dorea formicigenerans
39488,0.11253,species,Anaerobutyricum hallii
39490,0.02676,species,Eubacterium ramulus
39491,2.44505,species,Agathobacter rectalis
39492,2.68519,species,[Eubacterium] siraeum
39777,0.00269,species,Veillonella atypica
39778,0.00223,species,Veillonella dispar
40518,0.53694,species,Ruminococcus bromii
40520,0.01542,species,Blautia obeum
40545,2.63812,species,Sutterella wadsworthensis
46228,0.27519,species,[Ruminococcus] lactaris
46503,1.48861,species,Parabacteroides merdae
74426,0.17118,species,Collinsella aerofaciens
88431,0.26042,species,Dorea longicatena
89014,0.04349,species,Blautia luti
116085,0.02917,species,Coprococcus catus
214856,0.07198,species,Alistipes finegoldii
218538,0.01953,species,Dialister invisus
253257,0.03297,species,Lacrimispora amygdalina
290055,0.09566,species,Faecalicatena fissicatena
292800,0.00095,species,Flavonifractor plautii
301301,0.08059,species,Roseburia hominis
301302,0.68874,species,Roseburia faecis
328813,2.4012,species,Alistipes onderdonkii
328814,0.7723,species,Alistipes shahii
351091,0.34123,species,Oscillibacter valericigenes
357276,3.13913,species,Phocaeicola dorei
360807,0.05664,species,Roseburia inulinivorans
410072,0.13076,species,Coprococcus comes
418240,0.13722,species,Blautia wexlerae
423477,0.00063,species,Veillonella rogosae
446660,0.02596,species,Adlercreutzia equolifaciens
454154,3.50849,species,Paraprevotella clara
471189,0.00808,species,Gordonibacter pamelaeae
474960,0.08191,species,Hydrogenoanaerobacterium saccharovorans
487174,0.71484,species,Barnesiella intestinihominis
536633,0.10964,species,Blautia glucerasea
649756,0.14816,species,Anaerostipes hadrus
745368,0.23993,species,Gemmiger formicilis
871665,0.09806,species,Blautia faecis
944160,0.05665,species,Blastocystis sp. subtype 2
1150298,0.42625,species,Fusicatenibacter saccharivorans
1297617,0.03369,species,Intestinimonas butyriciproducens
1519439,0.5111,species,Oscillibacter sp. ER4
1550024,0.0766,species,Ruthenibacterium lactatiformans
1628085,0.10683,species,Agathobaculum butyriciproducens
1715004,0.02052,species,Clostridiales bacterium KLE1615
1737424,0.00636,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.00853,species,Romboutsia timonensis
1855299,0.00034,species,Oscillibacter sp. PC13
1898203,0.0002,species,Lachnospiraceae bacterium
1898204,0.11778,species,Clostridiaceae bacterium
1898207,0.07719,species,Clostridiales bacterium
1981510,0.0477,species,Monoglobus pectinilyticus
1982626,0.04242,species,Faecalibacillus intestinalis
2086583,0.31097,species,Pseudoruminococcus massiliensis
2093857,0.16634,species,Dysosmobacter welbionis
2108523,0.04042,species,Lawsonibacter asaccharolyticus
2126740,0.05894,species,Clostridium fessum
2211183,0.05412,species,Evtepia gabavorous
2292041,0.02135,species,Dorea sp. AF36-15AT
2292046,0.00107,species,Lachnotalea sp. AF33-28
2292182,0.05336,species,Clostridiaceae bacterium AF18-31LB
2292201,0.06019,species,Clostridium sp. AF12-28
2292205,0.00259,species,Clostridium sp. AF20-17LB
2292206,0.01835,species,Clostridium sp. AF27-2AA
2292271,0.03424,species,Lachnospiraceae bacterium AM48-27BH
2292304,0.01481,species,Clostridium sp. AM33-3
2293015,1.20253,species,Clostridium sp. AF36-4
2293024,0.00674,species,Clostridium sp. AM22-11AC
2293107,0.02,species,Eubacterium sp. AF34-35BH
2358141,0.15761,species,Anaerotignum faecicola
2508949,0.07406,species,Candidatus Borkfalkia ceftriaxoniphila
2585118,0.2443,species,Alistipes communis
2585119,0.08609,species,Alistipes dispar
2592640,0.43976,species,Blautia sp. MCC283
2606633,0.05686,species,Oliverpabstia intestinalis
2606640,0.15449,species,Victivallis lenta
2652276,0.52269,species,Holdemanella porci
2714355,0.18994,species,Vescimonas coprocola
2763016,0.00057,species,Anaerofilum hominis
2763663,0.01984,species,Enterocloster hominis (ex Liu et al. 2021)
2763672,0.16917,species,Simiaoa sunii
2763678,0.00386,species,Youxingia wuxianensis
2764712,0.00921,species,Lentihominibacter faecis
2787149,0.00117,species,Holdemania sp. 1001095H_141210_F2
2830655,0.0188,species,Oscillospiraceae bacterium Marseille-Q3528
2830657,0.0475,species,Clostridiaceae bacterium Marseille-Q4143
2830658,0.01261,species,Clostridiaceae bacterium Marseille-Q4145
2841521,0.01962,species,Anaerotignum sp. MSJ-24
2841526,0.58226,species,Oscillibacter sp. MSJ-31
2883268,0.02157,species,Colidextribacter sp. 210702-DFI.3.9
2883295,0.00605,species,bacterium 210917-DFI.7.65
2885350,0.65864,species,Gallintestinimicrobium propionicum
2885357,0.00612,species,Hominenteromicrobium mulieris
2939420,1.3875,species,Phascolarctobacterium sp. ET69
2951805,0.71616,species,Parabacteroides absconsus
2981769,0.16189,species,Waltera acetigignens
