ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,24.53156,species,unclassified
562,0.00018,species,Escherichia coli
573,0.00763,species,Klebsiella pneumoniae
729,0.02811,species,Haemophilus parainfluenzae
817,0.01401,species,Bacteroides fragilis
818,0.13773,species,Bacteroides thetaiotaomicron
820,1.5863,species,Bacteroides uniformis
821,3.16228,species,Phocaeicola vulgatus
823,0.55569,species,Parabacteroides distasonis
853,7.21987,species,Faecalibacterium prausnitzii
1304,0.01765,species,Streptococcus salivarius
1309,0.00052,species,Streptococcus mutans
1318,0.0256,species,Streptococcus parasanguinis
1535,0.00014,species,[Clostridium] leptum
28026,0.02309,species,Bifidobacterium pseudocatenulatum
28052,0.01209,species,Lachnospira pectinoschiza
28111,0.24046,species,Bacteroides eggerthii
28116,0.16177,species,Bacteroides ovatus
28117,0.25175,species,Alistipes putredinis
28118,0.6418,species,Odoribacter splanchnicus
33025,0.00394,species,Phascolarctobacterium faecium
33043,8.90494,species,Coprococcus eutactus
35833,0.14313,species,Bilophila wadsworthia
39482,0.00245,species,Faecalicatena contorta
39485,0.00648,species,Lachnospira eligens
39486,0.05673,species,Dorea formicigenerans
39488,0.50365,species,Anaerobutyricum hallii
39490,0.09395,species,Eubacterium ramulus
39491,11.51322,species,Agathobacter rectalis
39492,0.04415,species,[Eubacterium] siraeum
40518,0.64655,species,Ruminococcus bromii
40519,0.12436,species,Ruminococcus callidus
40520,0.19585,species,Blautia obeum
46503,1.32721,species,Parabacteroides merdae
47678,0.01094,species,Bacteroides caccae
61171,0.00138,species,Holdemania filiformis
74426,0.70876,species,Collinsella aerofaciens
88431,0.37014,species,Dorea longicatena
105843,0.17175,species,Anaerobutyricum soehngenii
113107,0.00212,species,Streptococcus australis
116085,0.03922,species,Coprococcus catus
154288,0.00029,species,Turicibacter sanguinis
165179,3.59813,species,Segatella copri
169435,0.00073,species,Anaerotruncus colihominis
172901,0.11005,species,Victivallis vadensis
204516,1.25744,species,Phocaeicola massiliensis
208479,0.00131,species,Enterocloster bolteae
216816,0.05675,species,Bifidobacterium longum
246787,0.00784,species,Bacteroides cellulosilyticus
253257,0.05695,species,Lacrimispora amygdalina
261299,0.0271,species,Intestinibacter bartlettii
290055,0.0094,species,Faecalicatena fissicatena
291644,0.00041,species,Bacteroides salyersiae
291645,0.01685,species,Bacteroides nordii
292800,0.01001,species,Flavonifractor plautii
301301,0.01356,species,Roseburia hominis
301302,0.17391,species,Roseburia faecis
310297,2.13372,species,Phocaeicola plebeius
