ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,10.499899999999998,species,unclassified
817,1.97183,species,Bacteroides fragilis
820,5.81763,species,Bacteroides uniformis
821,1.2611,species,Phocaeicola vulgatus
853,4.33253,species,Faecalibacterium prausnitzii
1680,8.47888,species,Bifidobacterium adolescentis
28116,2.33037,species,Bacteroides ovatus
39488,0.34567,species,Anaerobutyricum hallii
39491,7.76939,species,Agathobacter rectalis
40518,7.22486,species,Ruminococcus bromii
40520,0.47155,species,Blautia obeum
45851,6.51202,species,Eshraghiella crossota
46228,0.24562,species,[Ruminococcus] lactaris
47678,1.67892,species,Bacteroides caccae
74426,3.42225,species,Collinsella aerofaciens
214856,0.71665,species,Alistipes finegoldii
216816,3.11344,species,Bifidobacterium longum
218538,1.61176,species,Dialister invisus
328813,6.62723,species,Alistipes onderdonkii
328814,0.12321,species,Alistipes shahii
410072,1.33517,species,Coprococcus comes
418240,3.70172,species,Blautia wexlerae
592978,1.40068,species,Mediterraneibacter faecis
649756,1.04276,species,Anaerostipes hadrus
745368,2.84669,species,Gemmiger formicilis
871665,0.05858,species,Blautia faecis
1150298,3.29665,species,Fusicatenibacter saccharivorans
1737424,1.95962,species,Blautia massiliensis (ex Durand et al. 2017)
2290870,0.38399,species,Erysipelotrichaceae bacterium 7770_A6
2500537,7.56453,species,Candidatus Cibiobacter qucibialis
2592640,0.2776,species,Blautia sp. MCC283
2606633,0.0616,species,Oliverpabstia intestinalis
2881266,0.38317,species,Faecalibacterium butyricigenerans
2885350,0.80735,species,Gallintestinimicrobium propionicum
2897708,0.32509,species,Mediterraneibacter sp. NSJ-151
