ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,0.07207,species,unclassified
562,0.21228,species,Escherichia coli
729,0.00683,species,Haemophilus parainfluenzae
820,3.35288,species,Bacteroides uniformis
821,45.79066,species,Phocaeicola vulgatus
823,2.92818,species,Parabacteroides distasonis
853,5.98252,species,Faecalibacterium prausnitzii
1512,0.00131,species,[Clostridium] symbiosum
1680,0.19398,species,Bifidobacterium adolescentis
28052,1.56792,species,Lachnospira pectinoschiza
28116,4.05049,species,Bacteroides ovatus
29466,1.77911,species,Veillonella parvula
39485,0.16491,species,Lachnospira eligens
39491,0.00243,species,Agathobacter rectalis
39777,0.00985,species,Veillonella atypica
39778,0.64015,species,Veillonella dispar
46228,0.10303,species,[Ruminococcus] lactaris
46506,16.64294,species,Bacteroides stercoris
47678,9.64378,species,Bacteroides caccae
88431,0.21543,species,Dorea longicatena
166486,1.18169,species,Roseburia intestinalis
208479,0.03037,species,Enterocloster bolteae
216816,0.00687,species,Bifidobacterium longum
218538,0.68326,species,Dialister invisus
290055,0.01686,species,Faecalicatena fissicatena
292800,0.03055,species,Flavonifractor plautii
301302,0.91211,species,Roseburia faecis
328813,1.20449,species,Alistipes onderdonkii
360807,0.06993,species,Roseburia inulinivorans
371601,0.01125,species,Bacteroides xylanisolvens
410072,0.015,species,Coprococcus comes
418240,0.08627,species,Blautia wexlerae
592978,0.13225,species,Mediterraneibacter faecis
649756,0.07278,species,Anaerostipes hadrus
671267,0.0015,species,Phocaeicola sartorii
745368,0.17324,species,Gemmiger formicilis
871665,0.02053,species,Blautia faecis
1034346,0.00771,species,Dielma fastidiosa
1150298,0.22242,species,Fusicatenibacter saccharivorans
1160721,0.07156,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1414720,0.02984,species,Clostridium saudiense
1720194,0.01936,species,Clostridium sp. AT4
1737424,0.05889,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.08134,species,Romboutsia timonensis
1898204,0.01723,species,Clostridiaceae bacterium
1898207,0.12462,species,Clostridiales bacterium
2093857,0.22998,species,Dysosmobacter welbionis
2108523,0.06288,species,Lawsonibacter asaccharolyticus
2606633,0.00975,species,Oliverpabstia intestinalis
2714355,0.08402,species,Vescimonas coprocola
2735723,0.03155,species,Turicibacter bilis
2763664,0.03858,species,Jutongia hominis
2830657,0.18636,species,Clostridiaceae bacterium Marseille-Q4143
2885350,0.63892,species,Gallintestinimicrobium propionicum
2981769,0.07532,species,Waltera acetigignens
