ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,0.03779,species,unclassified
562,1.88557,species,Escherichia coli
573,0.01415,species,Klebsiella pneumoniae
823,0.86049,species,Parabacteroides distasonis
1351,0.22162,species,Enterococcus faecalis
1502,0.23295,species,Clostridium perfringens
1547,0.8562,species,Thomasclavelia ramosa
1681,29.77617,species,Bifidobacterium bifidum
1685,10.97399,species,Bifidobacterium breve
1689,1.58666,species,Bifidobacterium dentium
29466,0.20434,species,Veillonella parvula
33945,0.59515,species,Enterococcus avium
39777,0.12022,species,Veillonella atypica
39778,2.42154,species,Veillonella dispar
43675,0.37912,species,Rothia mucilaginosa
68891,0.0609,species,Streptococcus peroris
84112,0.05099,species,Eggerthella lenta
113107,0.12553,species,Streptococcus australis
137838,0.84915,species,Clostridium neonatale
216816,48.72044,species,Bifidobacterium longum
684066,0.02704,species,Streptococcus lactarius
