ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,35.31455,species,unclassified
818,0.57601,species,Bacteroides thetaiotaomicron
820,9.80565,species,Bacteroides uniformis
821,5.40856,species,Phocaeicola vulgatus
823,0.91688,species,Parabacteroides distasonis
853,1.10976,species,Faecalibacterium prausnitzii
1680,0.2913,species,Bifidobacterium adolescentis
28052,0.45719,species,Lachnospira pectinoschiza
28111,6.33272,species,Bacteroides eggerthii
28116,0.09753,species,Bacteroides ovatus
28117,8.97613,species,Alistipes putredinis
28118,0.08274,species,Odoribacter splanchnicus
33025,0.04607,species,Phascolarctobacterium faecium
33043,0.07726,species,Coprococcus eutactus
35833,0.24652,species,Bilophila wadsworthia
39485,0.05071,species,Lachnospira eligens
39491,1.77879,species,Agathobacter rectalis
39492,0.00735,species,[Eubacterium] siraeum
40518,1.98791,species,Ruminococcus bromii
46228,0.17137,species,[Ruminococcus] lactaris
46503,1.02907,species,Parabacteroides merdae
46506,7.28412,species,Bacteroides stercoris
47678,0.83257,species,Bacteroides caccae
187327,0.21035,species,Acidaminococcus intestini
204516,1.08003,species,Phocaeicola massiliensis
239935,0.4167,species,Akkermansia muciniphila
253257,0.08219,species,Lacrimispora amygdalina
290055,0.19469,species,Faecalicatena fissicatena
291644,0.11331,species,Bacteroides salyersiae
292800,0.20676,species,Flavonifractor plautii
301301,0.90435,species,Roseburia hominis
328813,0.23663,species,Alistipes onderdonkii
328814,0.92743,species,Alistipes shahii
351091,2.13011,species,Oscillibacter valericigenes
357276,0.43526,species,Phocaeicola dorei
360807,0.31113,species,Roseburia inulinivorans
371601,0.38781,species,Bacteroides xylanisolvens
437897,0.22106,species,Megamonas funiformis
454154,1.20692,species,Paraprevotella clara
487174,0.05005,species,Barnesiella intestinihominis
487175,0.45507,species,Parasutterella excrementihominis
544645,0.01007,species,Butyricimonas virosa
572010,0.01976,species,Slackia isoflavoniconvertens
626929,1.47405,species,Bacteroides clarus
626932,0.00574,species,Alistipes indistinctus
745368,0.01783,species,Gemmiger formicilis
1150298,0.01773,species,Fusicatenibacter saccharivorans
1160721,0.16197,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1288121,0.02036,species,Alistipes senegalensis
1297617,0.00077,species,Intestinimonas butyriciproducens
1470347,0.18251,species,Alistipes ihumii
1472416,0.0647,species,Butyricimonas faecihominis
1519439,1.93112,species,Oscillibacter sp. ER4
1547597,0.0033,species,Sanguibacteroides justesenii
1550024,0.01745,species,Ruthenibacterium lactatiformans
1628085,0.04602,species,Agathobaculum butyriciproducens
1702285,0.00066,species,Intestinimonas gabonensis
1855299,0.00056,species,Oscillibacter sp. PC13
1898207,0.13585,species,Clostridiales bacterium
2093857,0.05994,species,Dysosmobacter welbionis
2108523,0.03671,species,Lawsonibacter asaccharolyticus
2126740,0.10339,species,Clostridium fessum
2137880,0.0022,species,Candidatus Gastranaerophilales bacterium
2211183,0.00085,species,Evtepia gabavorous
2292182,0.01499,species,Clostridiaceae bacterium AF18-31LB
2292201,0.0782,species,Clostridium sp. AF12-28
2292205,0.08651,species,Clostridium sp. AF20-17LB
2292304,0.01095,species,Clostridium sp. AM33-3
2293015,0.10371,species,Clostridium sp. AF36-4
2293024,0.16153,species,Clostridium sp. AM22-11AC
2293035,0.00849,species,Clostridium sp. AM49-4BH
2293138,0.07942,species,Roseburia sp. AM59-24XD
2358141,0.20136,species,Anaerotignum faecicola
2485925,0.04272,species,Oscillospiraceae bacterium
2500537,0.09384,species,Candidatus Cibiobacter qucibialis
2585118,0.27525,species,Alistipes communis
2585119,0.1335,species,Alistipes dispar
2714355,0.01469,species,Vescimonas coprocola
2830654,0.02312,species,Clostridiaceae bacterium Marseille-Q3526
2841526,0.38295,species,Oscillibacter sp. MSJ-31
2881266,0.03027,species,Faecalibacterium butyricigenerans
2883268,0.12523,species,Colidextribacter sp. 210702-DFI.3.9
2883295,0.04372,species,bacterium 210917-DFI.7.65
2885350,0.27366,species,Gallintestinimicrobium propionicum
2981769,1.05175,species,Waltera acetigignens
