ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,23.22926,species,unclassified
729,0.00216,species,Haemophilus parainfluenzae
817,0.31411,species,Bacteroides fragilis
818,0.13544,species,Bacteroides thetaiotaomicron
820,0.72542,species,Bacteroides uniformis
823,0.46217,species,Parabacteroides distasonis
853,2.71678,species,Faecalibacterium prausnitzii
901,0.14247,species,Desulfovibrio piger
1304,0.00107,species,Streptococcus salivarius
1323,0.01605,species,Faecalicoccus pleomorphus
1535,0.01177,species,[Clostridium] leptum
1579,0.14053,species,Lactobacillus acidophilus
1660,0.00168,species,Schaalia odontolytica
1680,1.61202,species,Bifidobacterium adolescentis
1686,0.25837,species,Bifidobacterium catenulatum
28025,0.00958,species,Bifidobacterium animalis
28052,0.00914,species,Lachnospira pectinoschiza
28116,0.18292,species,Bacteroides ovatus
28117,2.04652,species,Alistipes putredinis
28118,0.3291,species,Odoribacter splanchnicus
33038,0.12055,species,Mediterraneibacter gnavus
33043,2.80196,species,Coprococcus eutactus
35833,0.04963,species,Bilophila wadsworthia
39482,0.00498,species,Faecalicatena contorta
39485,0.0901,species,Lachnospira eligens
39486,0.42138,species,Dorea formicigenerans
39488,0.36974,species,Anaerobutyricum hallii
39490,0.15226,species,Eubacterium ramulus
39491,2.92519,species,Agathobacter rectalis
39492,1.41658,species,[Eubacterium] siraeum
39496,0.18095,species,Eubacterium ventriosum
40518,5.88923,species,Ruminococcus bromii
40519,0.18245,species,Ruminococcus callidus
40520,0.30276,species,Blautia obeum
40545,0.46805,species,Sutterella wadsworthensis
45851,2.9382,species,Eshraghiella crossota
46228,0.7598,species,[Ruminococcus] lactaris
47678,0.23395,species,Bacteroides caccae
52768,0.00125,species,Schaalia georgiae
61171,0.00846,species,Holdemania filiformis
74426,1.5275,species,Collinsella aerofaciens
88431,1.31061,species,Dorea longicatena
89014,0.01519,species,Blautia luti
100884,0.00386,species,Coprobacillus cateniformis
113107,0.00308,species,Streptococcus australis
116085,0.33544,species,Coprococcus catus
165179,8.74916,species,Segatella copri
172901,0.0359,species,Victivallis vadensis
214856,0.04057,species,Alistipes finegoldii
216816,0.83425,species,Bifidobacterium longum
218538,4.71314,species,Dialister invisus
239935,1.07573,species,Akkermansia muciniphila
246787,0.00776,species,Bacteroides cellulosilyticus
253257,0.01435,species,Lacrimispora amygdalina
261299,0.04356,species,Intestinibacter bartlettii
290055,0.3975,species,Faecalicatena fissicatena
291645,0.0757,species,Bacteroides nordii
292800,0.00356,species,Flavonifractor plautii
301301,0.08798,species,Roseburia hominis
301302,0.31813,species,Roseburia faecis
328812,0.05847,species,Parabacteroides goldsteinii
328813,0.09642,species,Alistipes onderdonkii
328814,0.68676,species,Alistipes shahii
329854,0.03768,species,Bacteroides intestinalis
341225,0.01937,species,Thomasclavelia saccharogumia
351091,0.43943,species,Oscillibacter valericigenes
357276,2.1237,species,Phocaeicola dorei
358743,0.00349,species,Enterocloster citroniae
360807,0.11218,species,Roseburia inulinivorans
371601,0.10703,species,Bacteroides xylanisolvens
410072,0.45307,species,Coprococcus comes
418240,2.07999,species,Blautia wexlerae
446660,0.11473,species,Adlercreutzia equolifaciens
471189,0.00584,species,Gordonibacter pamelaeae
474960,0.05477,species,Hydrogenoanaerobacterium saccharovorans
487174,0.65659,species,Barnesiella intestinihominis
487175,0.00053,species,Parasutterella excrementihominis
536633,0.08623,species,Blautia glucerasea
592978,0.91965,species,Mediterraneibacter faecis
626929,0.04801,species,Bacteroides clarus
626932,0.32837,species,Alistipes indistinctus
626937,0.00276,species,Christensenella minuta
649756,0.97241,species,Anaerostipes hadrus
745368,0.41815,species,Gemmiger formicilis
747645,0.00797,species,Parvibacter caecicola
871665,0.60544,species,Blautia faecis
944168,0.03291,species,Blastocystis sp. subtype 3
1150298,2.31015,species,Fusicatenibacter saccharivorans
1160721,0.10398,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1161942,0.15666,species,Ruminococcus champanellensis
1288121,0.01329,species,Alistipes senegalensis
1347366,0.0119,species,Clostridium massiliamazoniense
1470347,0.00755,species,Alistipes ihumii
1472416,0.02563,species,Butyricimonas faecihominis
1472417,0.00058,species,Butyricimonas paravirosa
1473216,0.27138,species,Senegalimassilia anaerobia
1519439,0.94669,species,Oscillibacter sp. ER4
1550024,0.03059,species,Ruthenibacterium lactatiformans
1628085,0.48233,species,Agathobaculum butyriciproducens
1673721,0.00858,species,Intestinimonas massiliensis (ex Afouda et al. 2020)
1702285,0.00116,species,Intestinimonas gabonensis
1715004,0.73683,species,Clostridiales bacterium KLE1615
1720200,0.001,species,Anaerotruncus rubiinfantis
1720300,0.00055,species,Mediterraneibacter massiliensis
1737424,0.16865,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.12998,species,Romboutsia timonensis
1852384,0.0013,species,Massiliimalia massiliensis
1855299,9e-05,species,Oscillibacter sp. PC13
