ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,3.97656,species,unclassified
818,0.16878,species,Bacteroides thetaiotaomicron
820,1.51856,species,Bacteroides uniformis
821,6.96967,species,Phocaeicola vulgatus
823,0.27864,species,Parabacteroides distasonis
853,5.86308,species,Faecalibacterium prausnitzii
1304,0.07463,species,Streptococcus salivarius
1308,0.04114,species,Streptococcus thermophilus
1318,0.01032,species,Streptococcus parasanguinis
1502,0.04791,species,Clostridium perfringens
1535,0.06614,species,[Clostridium] leptum
1680,2.80426,species,Bifidobacterium adolescentis
1681,2.56675,species,Bifidobacterium bifidum
2173,0.27582,species,Methanobrevibacter smithii
28026,0.0839,species,Bifidobacterium pseudocatenulatum
28052,0.27235,species,Lachnospira pectinoschiza
28116,1.43207,species,Bacteroides ovatus
28117,5.81524,species,Alistipes putredinis
28118,0.58853,species,Odoribacter splanchnicus
29348,0.06069,species,Thomasclavelia spiroformis
33025,0.04729,species,Phascolarctobacterium faecium
33038,0.02191,species,Mediterraneibacter gnavus
33039,0.14702,species,[Ruminococcus] torques
33043,0.01655,species,Coprococcus eutactus
35833,0.1912,species,Bilophila wadsworthia
39485,0.16551,species,Lachnospira eligens
39486,0.25971,species,Dorea formicigenerans
39488,1.19541,species,Anaerobutyricum hallii
39490,0.16856,species,Eubacterium ramulus
39491,3.35735,species,Agathobacter rectalis
39496,0.52486,species,Eubacterium ventriosum
40518,3.6645,species,Ruminococcus bromii
40519,0.61106,species,Ruminococcus callidus
40520,1.15045,species,Blautia obeum
46503,0.46554,species,Parabacteroides merdae
46506,10.06942,species,Bacteroides stercoris
47678,0.34736,species,Bacteroides caccae
53443,0.00797,species,Blautia hydrogenotrophica
74426,0.38983,species,Collinsella aerofaciens
88431,1.52304,species,Dorea longicatena
105843,0.00422,species,Anaerobutyricum soehngenii
113107,0.00737,species,Streptococcus australis
116085,0.20951,species,Coprococcus catus
172901,0.00322,species,Victivallis vadensis
204516,4.06194,species,Phocaeicola massiliensis
214856,0.34459,species,Alistipes finegoldii
216816,1.27782,species,Bifidobacterium longum
218538,0.94,species,Dialister invisus
239935,0.02679,species,Akkermansia muciniphila
253257,0.297,species,Lacrimispora amygdalina
261299,0.31806,species,Intestinibacter bartlettii
290055,0.16464,species,Faecalicatena fissicatena
292800,0.09662,species,Flavonifractor plautii
301301,0.10143,species,Roseburia hominis
301302,5.74355,species,Roseburia faecis
328813,0.01498,species,Alistipes onderdonkii
328814,0.39193,species,Alistipes shahii
351091,0.66172,species,Oscillibacter valericigenes
360807,1.06459,species,Roseburia inulinivorans
410072,0.63453,species,Coprococcus comes
418240,2.12337,species,Blautia wexlerae
446660,0.04841,species,Adlercreutzia equolifaciens
474960,0.06647,species,Hydrogenoanaerobacterium saccharovorans
487174,1.03298,species,Barnesiella intestinihominis
487175,0.82706,species,Parasutterella excrementihominis
536633,0.07109,species,Blautia glucerasea
592978,1.82993,species,Mediterraneibacter faecis
649756,2.2129,species,Anaerostipes hadrus
871665,0.78817,species,Blautia faecis
1150298,3.18686,species,Fusicatenibacter saccharivorans
1160721,2.21911,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1414720,0.06653,species,Clostridium saudiense
1470347,0.1964,species,Alistipes ihumii
1550024,0.15742,species,Ruthenibacterium lactatiformans
1628085,0.1436,species,Agathobaculum butyriciproducens
1697794,0.00094,species,Clostridia bacterium UC5.1-1D1
1715004,0.42532,species,Clostridiales bacterium KLE1615
1737424,0.78997,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.93376,species,Romboutsia timonensis
1898203,0.02427,species,Lachnospiraceae bacterium
1898204,0.13617,species,Clostridiaceae bacterium
1898207,0.2476,species,Clostridiales bacterium
1982626,0.43672,species,Faecalibacillus intestinalis
2049045,0.03683,species,Eubacteriaceae bacterium
2093857,0.16796,species,Dysosmobacter welbionis
2126740,0.33651,species,Clostridium fessum
2211183,0.26618,species,Evtepia gabavorous
2292182,0.06366,species,Clostridiaceae bacterium AF18-31LB
2292205,0.13949,species,Clostridium sp. AF20-17LB
2292271,0.03403,species,Lachnospiraceae bacterium AM48-27BH
2292304,0.05711,species,Clostridium sp. AM33-3
2293015,0.43206,species,Clostridium sp. AF36-4
2293024,0.06627,species,Clostridium sp. AM22-11AC
2293035,0.0634,species,Clostridium sp. AM49-4BH
2293107,0.32341,species,Eubacterium sp. AF34-35BH
2293126,0.02135,species,Roseburia sp. AF02-12
2485925,0.13847,species,Oscillospiraceae bacterium
2500537,2.12216,species,Candidatus Cibiobacter qucibialis
2585118,0.51606,species,Alistipes communis
2606633,0.77105,species,Oliverpabstia intestinalis
2714355,0.42956,species,Vescimonas coprocola
2763052,0.00083,species,Lawsonibacter faecis
2763064,0.00966,species,Roseburia zhanii
2763663,0.11844,species,Enterocloster hominis (ex Liu et al. 2021)
2764712,0.03591,species,Lentihominibacter faecis
2841526,0.8166,species,Oscillibacter sp. MSJ-31
2881266,0.01774,species,Faecalibacterium butyricigenerans
2881276,0.13965,species,Fusicatenibacter faecihominis
2883268,0.09244,species,Colidextribacter sp. 210702-DFI.3.9
2883295,0.01807,species,bacterium 210917-DFI.7.65
2885350,0.72577,species,Gallintestinimicrobium propionicum
2885357,0.42798,species,Hominenteromicrobium mulieris
2981769,0.04218,species,Waltera acetigignens
