ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,22.80012,species,unclassified
562,0.01249,species,Escherichia coli
817,0.04978,species,Bacteroides fragilis
818,0.70122,species,Bacteroides thetaiotaomicron
820,3.44535,species,Bacteroides uniformis
821,0.00395,species,Phocaeicola vulgatus
823,0.42593,species,Parabacteroides distasonis
853,5.94315,species,Faecalibacterium prausnitzii
1304,0.09463,species,Streptococcus salivarius
1308,0.01204,species,Streptococcus thermophilus
1318,0.00353,species,Streptococcus parasanguinis
1359,0.00059,species,Lactococcus cremoris
1535,0.01984,species,[Clostridium] leptum
1680,1.84803,species,Bifidobacterium adolescentis
1681,0.07554,species,Bifidobacterium bifidum
28026,0.3418,species,Bifidobacterium pseudocatenulatum
28116,1.41479,species,Bacteroides ovatus
28117,3.71596,species,Alistipes putredinis
28118,0.29538,species,Odoribacter splanchnicus
29466,0.01878,species,Veillonella parvula
35833,0.13214,species,Bilophila wadsworthia
39485,1.00725,species,Lachnospira eligens
39486,0.05121,species,Dorea formicigenerans
39490,0.01309,species,Eubacterium ramulus
39491,6.80842,species,Agathobacter rectalis
39492,0.12052,species,[Eubacterium] siraeum
39496,0.02244,species,Eubacterium ventriosum
40520,0.11635,species,Blautia obeum
74426,0.05296,species,Collinsella aerofaciens
88431,0.06486,species,Dorea longicatena
106588,0.03228,species,Pseudoflavonifractor capillosus
113107,0.01565,species,Streptococcus australis
116085,0.1205,species,Coprococcus catus
166486,0.10673,species,Roseburia intestinalis
204516,2.58725,species,Phocaeicola massiliensis
214856,0.00707,species,Alistipes finegoldii
216816,0.39205,species,Bifidobacterium longum
218538,1.60515,species,Dialister invisus
239935,0.00301,species,Akkermansia muciniphila
246787,1.73989,species,Bacteroides cellulosilyticus
253257,0.17894,species,Lacrimispora amygdalina
290055,0.19488,species,Faecalicatena fissicatena
301301,0.63235,species,Roseburia hominis
301302,3.64728,species,Roseburia faecis
328813,0.20096,species,Alistipes onderdonkii
328814,1.07544,species,Alistipes shahii
351091,2.07633,species,Oscillibacter valericigenes
357276,3.32904,species,Phocaeicola dorei
360807,0.8301,species,Roseburia inulinivorans
371601,0.01328,species,Bacteroides xylanisolvens
410072,0.05818,species,Coprococcus comes
418240,0.10844,species,Blautia wexlerae
423477,0.01346,species,Veillonella rogosae
446660,0.00074,species,Adlercreutzia equolifaciens
474960,0.07931,species,Hydrogenoanaerobacterium saccharovorans
487174,0.65911,species,Barnesiella intestinihominis
487175,0.02824,species,Parasutterella excrementihominis
536633,0.08609,species,Blautia glucerasea
592978,0.03956,species,Mediterraneibacter faecis
626932,0.08341,species,Alistipes indistinctus
649756,0.03122,species,Anaerostipes hadrus
745368,6.16739,species,Gemmiger formicilis
871665,0.11663,species,Blautia faecis
1099853,0.00969,species,Coprobacter fastidiosus
1150298,0.58788,species,Fusicatenibacter saccharivorans
1160721,5.69973,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1465754,0.07724,species,Alistipes timonensis
1470347,0.08627,species,Alistipes ihumii
1472416,0.11217,species,Butyricimonas faecihominis
1473216,0.00493,species,Senegalimassilia anaerobia
