ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,7.32711,species,unclassified
546,0.01536,species,Citrobacter freundii
548,0.03196,species,Klebsiella aerogenes
550,0.0048,species,Enterobacter cloacae
562,4.51098,species,Escherichia coli
573,4.55053,species,Klebsiella pneumoniae
818,0.00241,species,Bacteroides thetaiotaomicron
820,0.01709,species,Bacteroides uniformis
821,0.12505,species,Phocaeicola vulgatus
823,0.00635,species,Parabacteroides distasonis
853,38.36018,species,Faecalibacterium prausnitzii
1302,0.00533,species,Streptococcus gordonii
1303,0.01471,species,Streptococcus oralis
1304,0.14745,species,Streptococcus salivarius
1305,0.00463,species,Streptococcus sanguinis
1308,0.02929,species,Streptococcus thermophilus
1322,0.00633,species,Blautia hansenii
1328,0.00588,species,Streptococcus anginosus
1338,0.00285,species,Streptococcus intermedius
1343,0.00366,species,Streptococcus vestibularis
1351,0.00981,species,Enterococcus faecalis
1352,0.04,species,Enterococcus faecium
1383,0.0027,species,Lancefieldella rimae
1502,0.03524,species,Clostridium perfringens
1522,0.02353,species,[Clostridium] innocuum
1547,0.0654,species,Thomasclavelia ramosa
1655,0.00241,species,Actinomyces naeslundii
1660,0.00188,species,Schaalia odontolytica
1737,0.0001,species,Paraclostridium tenue
28026,2.11217,species,Bifidobacterium pseudocatenulatum
28037,0.00122,species,Streptococcus mitis
28052,1.04861,species,Lachnospira pectinoschiza
28116,0.0208,species,Bacteroides ovatus
28135,0.00169,species,Segatella oris
29391,0.00291,species,Gemella morbillorum
29466,0.11182,species,Veillonella parvula
33025,0.19492,species,Phascolarctobacterium faecium
33038,0.06425,species,Mediterraneibacter gnavus
33039,0.07888,species,[Ruminococcus] torques
35833,0.00893,species,Bilophila wadsworthia
39485,0.19706,species,Lachnospira eligens
39486,0.08894,species,Dorea formicigenerans
39488,0.77735,species,Anaerobutyricum hallii
39490,0.07395,species,Eubacterium ramulus
39491,0.6334,species,Agathobacter rectalis
40520,0.95062,species,Blautia obeum
41997,0.00023,species,Enterococcus saccharolyticus
43675,0.02577,species,Rothia mucilaginosa
46506,0.06364,species,Bacteroides stercoris
51288,0.00039,species,Kluyvera ascorbata
52769,0.0029,species,Actinomyces gerencseriae
54291,0.00531,species,Raoultella ornithinolytica
56774,5e-05,species,[Eubacterium] infirmum
57706,0.00651,species,Citrobacter braakii
61592,0.00511,species,Corynebacterium durum
61645,0.0112,species,Enterobacter asburiae
73098,0.00731,species,Kluyvera georgiana
74426,5.11385,species,Collinsella aerofaciens
84112,0.09706,species,Eggerthella lenta
84135,0.0047,species,Gemella sanguinis
88431,0.93546,species,Dorea longicatena
102148,0.00196,species,Solobacterium moorei
113107,0.06425,species,Streptococcus australis
114527,0.00631,species,Mogibacterium diversum
116085,0.00336,species,Coprococcus catus
135083,0.00098,species,Selenomonas noxia
136857,0.00097,species,Corynebacterium testudinoris
143393,0.00136,species,[Eubacterium] sulci
147207,0.00508,species,Collinsella intestinalis
154288,0.14484,species,Turicibacter sanguinis
158836,0.15704,species,Enterobacter hormaechei
178339,0.00196,species,Pauljensenia hongkongensis
208224,0.04779,species,Enterobacter kobei
208479,0.01183,species,Enterocloster bolteae
216816,3.99872,species,Bifidobacterium longum
218538,0.01536,species,Dialister invisus
244366,0.44119,species,Klebsiella variicola
253257,0.02029,species,Lacrimispora amygdalina
261299,0.13482,species,Intestinibacter bartlettii
272548,0.00746,species,Actinomyces dentalis
290055,0.79018,species,Faecalicatena fissicatena
292800,0.12279,species,Flavonifractor plautii
299767,0.05111,species,Enterobacter ludwigii
301302,1.61709,species,Roseburia faecis
315405,0.01499,species,Streptococcus gallolyticus
342942,0.05332,species,Mediterraneibacter glycyrrhizinilyticus
360807,1.33035,species,Roseburia inulinivorans
363265,0.09991,species,Leyella stercorea
418240,2.15327,species,Blautia wexlerae
423477,0.01022,species,Veillonella rogosae
461393,0.00235,species,Actinomyces massiliensis
536633,0.00528,species,Blautia glucerasea
539813,0.00944,species,Enterobacter mori
544581,0.00115,species,Actinomyces johnsonii
592978,4.46173,species,Mediterraneibacter faecis
649756,0.6082,species,Anaerostipes hadrus
671231,0.02452,species,TM7 phylum sp. oral taxon 348
712411,0.00582,species,Olsenella sp. oral taxon 807
712888,0.00089,species,Actinobaculum sp. oral taxon 183
713054,0.00677,species,TM7 phylum sp. oral taxon 352
713059,0.0007,species,Candidatus Saccharibacteria bacterium oral taxon 488
745368,1.8734,species,Gemmiger formicilis
871664,0.64492,species,Blautia stercoris
871665,0.52596,species,Blautia faecis
881260,0.10511,species,Enterobacter bugandensis
936548,0.00466,species,Actinomyces sp. ICM47
1110546,0.00339,species,Veillonella tobetsuensis
1134687,0.01169,species,Klebsiella michiganensis
1150298,0.72498,species,Fusicatenibacter saccharivorans
1234680,0.06256,species,Streptococcus rubneri
1414720,0.19887,species,Clostridium saudiense
1463165,0.12667,species,Klebsiella quasipneumoniae
1581061,0.00022,species,Abiotrophia sp. HMSC24B09
1628085,0.18985,species,Agathobaculum butyriciproducens
1639133,0.10172,species,Citrobacter portucalensis
1673717,0.01108,species,Anaeromassilibacillus senegalensis
1697794,0.04154,species,Clostridia bacterium UC5.1-1D1
1715004,0.11953,species,Clostridiales bacterium KLE1615
1720194,0.00253,species,Clostridium sp. AT4
1737424,0.32659,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.20064,species,Romboutsia timonensis
1812935,0.08183,species,Enterobacter roggenkampii
1898203,0.10787,species,Lachnospiraceae bacterium
1898204,0.01652,species,Clostridiaceae bacterium
1898207,0.02235,species,Clostridiales bacterium
1912855,0.20331,species,Faecalimonas umbilicata
1940789,0.00222,species,Lactococcus petauri
1982626,0.09401,species,Faecalibacillus intestinalis
1986206,0.03358,species,Candidatus Nanosynsacchari sp. TM7_ANC_38.39_G1_1
2093857,0.01224,species,Dysosmobacter welbionis
2126740,0.66493,species,Clostridium fessum
2171989,0.00927,species,Candidatus Nanoperiomorbus periodonticus
2292066,1.3405,species,Roseburia sp. AM23-20
2292182,0.027,species,Clostridiaceae bacterium AF18-31LB
2292304,0.00559,species,Clostridium sp. AM33-3
2292305,0.01304,species,Clostridium sp. AM42-4
2293024,0.03767,species,Clostridium sp. AM22-11AC
2293107,0.0417,species,Eubacterium sp. AF34-35BH
2316025,0.00651,species,Mediterraneibacter butyricigenes
2500537,5.05879,species,Candidatus Cibiobacter qucibialis
2509240,0.27766,species,Blautia faecicola
2548455,0.13603,species,Clostridium cuniculi
2564099,1.11182,species,Ruminococcus bovis
2735723,0.2647,species,Turicibacter bilis
2763672,0.0109,species,Simiaoa sunii
2787103,0.41923,species,Clostridium sp. 1001270J_160509_D11
2841521,0.00289,species,Anaerotignum sp. MSJ-24
2881276,0.07393,species,Fusicatenibacter faecihominis
2883268,0.00064,species,Colidextribacter sp. 210702-DFI.3.9
2883295,0.00086,species,bacterium 210917-DFI.7.65
2897708,0.0556,species,Mediterraneibacter sp. NSJ-151
2899133,0.00793,species,Candidatus Nanosynbacter sp. HMT-352
2981769,0.14736,species,Waltera acetigignens
