ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,38.34313,species,unclassified
817,0.2086,species,Bacteroides fragilis
818,0.0008,species,Bacteroides thetaiotaomicron
820,2.91962,species,Bacteroides uniformis
821,0.00677,species,Phocaeicola vulgatus
823,0.15668,species,Parabacteroides distasonis
853,3.1887,species,Faecalibacterium prausnitzii
1304,0.00369,species,Streptococcus salivarius
1308,0.07515,species,Streptococcus thermophilus
1318,0.00372,species,Streptococcus parasanguinis
1358,0.00997,species,Lactococcus lactis
1535,0.4561,species,[Clostridium] leptum
1597,0.00816,species,Lacticaseibacillus paracasei
1660,0.00171,species,Schaalia odontolytica
1680,1.54989,species,Bifidobacterium adolescentis
28025,0.25758,species,Bifidobacterium animalis
28026,0.00156,species,Bifidobacterium pseudocatenulatum
28052,0.17724,species,Lachnospira pectinoschiza
28111,1.52209,species,Bacteroides eggerthii
28116,0.16877,species,Bacteroides ovatus
28117,1.40881,species,Alistipes putredinis
28118,0.1331,species,Odoribacter splanchnicus
29348,0.27007,species,Thomasclavelia spiroformis
33025,0.75971,species,Phascolarctobacterium faecium
33038,0.28852,species,Mediterraneibacter gnavus
33043,0.70018,species,Coprococcus eutactus
35833,0.00483,species,Bilophila wadsworthia
39482,0.06562,species,Faecalicatena contorta
39485,0.40195,species,Lachnospira eligens
39486,0.17399,species,Dorea formicigenerans
39488,0.34533,species,Anaerobutyricum hallii
39490,0.14935,species,Eubacterium ramulus
39491,0.59348,species,Agathobacter rectalis
39492,1.84956,species,[Eubacterium] siraeum
39496,0.03325,species,Eubacterium ventriosum
40518,3.3793,species,Ruminococcus bromii
40519,0.03304,species,Ruminococcus callidus
40520,0.24253,species,Blautia obeum
44742,0.44508,species,Desulfovibrio fairfieldensis
46228,0.10715,species,[Ruminococcus] lactaris
46503,0.30747,species,Parabacteroides merdae
53443,0.01643,species,Blautia hydrogenotrophica
74426,3.36136,species,Collinsella aerofaciens
84026,0.00109,species,[Clostridium] methylpentosum
84112,0.1372,species,Eggerthella lenta
88431,0.66519,species,Dorea longicatena
89014,0.03527,species,Blautia luti
105843,1.90413,species,Anaerobutyricum soehngenii
106588,0.0903,species,Pseudoflavonifractor capillosus
116085,0.24423,species,Coprococcus catus
165179,0.00236,species,Segatella copri
166486,0.00456,species,Roseburia intestinalis
169435,0.00034,species,Anaerotruncus colihominis
214853,0.01628,species,Anaerofustis stercorihominis
216816,0.50581,species,Bifidobacterium longum
239935,1.14504,species,Akkermansia muciniphila
246787,0.04423,species,Bacteroides cellulosilyticus
261299,0.03299,species,Intestinibacter bartlettii
290055,0.06799,species,Faecalicatena fissicatena
