ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,43.32045,species,unclassified
562,0.01604,species,Escherichia coli
818,0.01245,species,Bacteroides thetaiotaomicron
820,2.33528,species,Bacteroides uniformis
821,7.30067,species,Phocaeicola vulgatus
823,1.30389,species,Parabacteroides distasonis
853,1.47667,species,Faecalibacterium prausnitzii
901,0.83701,species,Desulfovibrio piger
1318,0.00171,species,Streptococcus parasanguinis
1358,0.0034,species,Lactococcus lactis
1535,0.00307,species,[Clostridium] leptum
1680,0.17855,species,Bifidobacterium adolescentis
2173,0.02518,species,Methanobrevibacter smithii
28026,0.23362,species,Bifidobacterium pseudocatenulatum
28052,0.03914,species,Lachnospira pectinoschiza
28111,2.08521,species,Bacteroides eggerthii
28117,5.47219,species,Alistipes putredinis
28118,0.27698,species,Odoribacter splanchnicus
28125,0.00246,species,Prevotella bivia
28127,0.01391,species,Hoylesella buccalis
33039,0.17681,species,[Ruminococcus] torques
35833,0.43194,species,Bilophila wadsworthia
39483,0.01885,species,Faecalitalea cylindroides
39485,0.11333,species,Lachnospira eligens
39486,0.01704,species,Dorea formicigenerans
39488,0.01558,species,Anaerobutyricum hallii
39490,0.02934,species,Eubacterium ramulus
39491,0.39307,species,Agathobacter rectalis
39492,4.94537,species,[Eubacterium] siraeum
39496,0.01564,species,Eubacterium ventriosum
40518,0.76421,species,Ruminococcus bromii
40520,0.09842,species,Blautia obeum
40545,0.02054,species,Sutterella wadsworthensis
46503,1.00404,species,Parabacteroides merdae
47678,2.3886,species,Bacteroides caccae
61171,0.01236,species,Holdemania filiformis
74426,0.47777,species,Collinsella aerofaciens
82135,0.0011,species,Fannyhessea vaginae
84112,0.03226,species,Eggerthella lenta
88431,0.09086,species,Dorea longicatena
100884,0.01543,species,Coprobacillus cateniformis
131111,0.0123,species,Schaalia turicensis
154046,1.49964,species,Hungatella hathewayi
166486,0.13953,species,Roseburia intestinalis
169435,0.00614,species,Anaerotruncus colihominis
204516,1.03368,species,Phocaeicola massiliensis
208479,0.00012,species,Enterocloster bolteae
216816,0.30511,species,Bifidobacterium longum
239935,1.10202,species,Akkermansia muciniphila
246787,0.07142,species,Bacteroides cellulosilyticus
253257,0.01074,species,Lacrimispora amygdalina
281920,0.00124,species,Porphyromonas uenonis
290055,0.27933,species,Faecalicatena fissicatena
291645,0.01198,species,Bacteroides nordii
292800,0.08506,species,Flavonifractor plautii
301301,0.14957,species,Roseburia hominis
301302,0.29205,species,Roseburia faecis
310298,0.20903,species,Phocaeicola coprocola
322095,0.01045,species,Porphyromonas somerae
328812,0.03352,species,Parabacteroides goldsteinii
328813,0.81917,species,Alistipes onderdonkii
328814,1.23495,species,Alistipes shahii
342942,0.0106,species,Mediterraneibacter glycyrrhizinilyticus
351091,0.14542,species,Oscillibacter valericigenes
360807,0.0591,species,Roseburia inulinivorans
371601,0.03628,species,Bacteroides xylanisolvens
410072,0.0911,species,Coprococcus comes
418240,0.05526,species,Blautia wexlerae
446660,0.0572,species,Adlercreutzia equolifaciens
454154,0.52687,species,Paraprevotella clara
471189,0.01597,species,Gordonibacter pamelaeae
474960,0.02822,species,Hydrogenoanaerobacterium saccharovorans
487174,1.28319,species,Barnesiella intestinihominis
487175,0.04695,species,Parasutterella excrementihominis
501496,0.00288,species,Porphyromonas bennonis
508460,0.00494,species,Cloacibacillus evryensis
536633,0.03017,species,Blautia glucerasea
544645,0.00752,species,Butyricimonas virosa
572010,0.29133,species,Slackia isoflavoniconvertens
592978,0.0097,species,Mediterraneibacter faecis
626929,0.23311,species,Bacteroides clarus
626932,0.02944,species,Alistipes indistinctus
626940,0.25174,species,Phascolarctobacterium succinatutens
649756,0.01347,species,Anaerostipes hadrus
674529,0.22746,species,Bacteroides faecis
713054,0.00517,species,TM7 phylum sp. oral taxon 352
745368,0.08946,species,Gemmiger formicilis
871665,0.04334,species,Blautia faecis
944208,0.01747,species,Blastocystis sp. subtype 6
1099853,0.08785,species,Coprobacter fastidiosus
1150298,0.09366,species,Fusicatenibacter saccharivorans
1288121,0.23109,species,Alistipes senegalensis
1297617,0.11745,species,Intestinimonas butyriciproducens
1335613,0.00271,species,Gordonibacter urolithinfaciens
1432052,0.00239,species,Eisenbergiella tayi
1470347,0.75809,species,Alistipes ihumii
1472416,0.09368,species,Butyricimonas faecihominis
1519439,0.40083,species,Oscillibacter sp. ER4
1550024,0.01072,species,Ruthenibacterium lactatiformans
1628085,0.14274,species,Agathobaculum butyriciproducens
1653434,0.02779,species,Sellimonas intestinalis
1653435,0.03064,species,Merdimonas faecis
1673717,0.0402,species,Anaeromassilibacillus senegalensis
1673720,0.00704,species,Anaerotruncus massiliensis (ex Togo et al. 2019)
1673721,0.02688,species,Intestinimonas massiliensis (ex Afouda et al. 2020)
1697794,0.00242,species,Clostridia bacterium UC5.1-1D1
1715004,0.0258,species,Clostridiales bacterium KLE1615
1720200,0.00654,species,Anaerotruncus rubiinfantis
1720294,0.00439,species,Eisenbergiella massiliensis
1723384,0.00214,species,Fenollaria timonensis
1737424,0.07394,species,Blautia massiliensis (ex Durand et al. 2017)
1739394,0.00095,species,Porphyromonas sp. HMSC065F10
1776379,1.02975,species,Leyella lascolaii
1841868,0.00608,species,Provencibacterium massiliense
1870991,0.00028,species,Massilioclostridium coli
1871018,0.00179,species,Angelakisella massiliensis
1871020,0.00077,species,Clostridium sp. Marseille-P3244
1898203,0.01517,species,Lachnospiraceae bacterium
1898204,0.15493,species,Clostridiaceae bacterium
1898207,0.05708,species,Clostridiales bacterium
1965537,0.0032,species,Flavonifractor sp. An10
1965538,0.00906,species,Flavonifractor sp. An100
1982626,0.00304,species,Faecalibacillus intestinalis
2041842,0.00131,species,Neobittarella massiliensis (ex Bilen et al. 2018)
2049045,0.00311,species,Eubacteriaceae bacterium
2086583,0.12622,species,Pseudoruminococcus massiliensis
2093856,0.11965,species,Butyricimonas faecalis
2093857,0.17516,species,Dysosmobacter welbionis
2108523,0.33849,species,Lawsonibacter asaccharolyticus
2126740,0.10783,species,Clostridium fessum
2137880,0.0079,species,Candidatus Gastranaerophilales bacterium
2211183,0.08182,species,Evtepia gabavorous
2292041,0.01761,species,Dorea sp. AF36-15AT
2292046,0.00148,species,Lachnotalea sp. AF33-28
2292075,1.06409,species,Sutterella sp. AM11-39
2292182,0.04561,species,Clostridiaceae bacterium AF18-31LB
2292205,0.02622,species,Clostridium sp. AF20-17LB
2292244,0.00025,species,Pseudoflavonifractor sp. AF19-9AC
2292271,0.01809,species,Lachnospiraceae bacterium AM48-27BH
2292272,0.00618,species,Lachnospiraceae bacterium OM04-12BH
2292304,0.00098,species,Clostridium sp. AM33-3
2293015,0.64327,species,Clostridium sp. AF36-4
2293024,0.00763,species,Clostridium sp. AM22-11AC
2293028,0.01732,species,Clostridium sp. AM29-11AC
2293035,0.19363,species,Clostridium sp. AM49-4BH
2293104,0.00482,species,Eubacterium sp. AF16-48
2293126,0.02038,species,Roseburia sp. AF02-12
2358141,0.13818,species,Anaerotignum faecicola
2485925,0.11718,species,Oscillospiraceae bacterium
2500537,3.25035,species,Candidatus Cibiobacter qucibialis
2508949,0.18569,species,Candidatus Borkfalkia ceftriaxoniphila
2585118,0.2219,species,Alistipes communis
2585119,0.27378,species,Alistipes dispar
2592640,0.1301,species,Blautia sp. MCC283
2714355,0.00069,species,Vescimonas coprocola
2763051,0.00424,species,Lachnospira hominis (ex Liu et al. 2021)
2763053,0.03077,species,Lawsonibacter hominis
2763656,0.00465,species,Guopingia tenuis
2763660,0.00034,species,Feifania hominis
2763662,0.00455,species,Yeguia hominis
2763663,0.01304,species,Enterocloster hominis (ex Liu et al. 2021)
2763667,0.00677,species,Wansuia hejianensis
2763672,0.24724,species,Simiaoa sunii
2763678,0.00128,species,Youxingia wuxianensis
2764322,0.01126,species,Hydrogeniiclostridium mannosilyticum
2764712,0.03416,species,Lentihominibacter faecis
2779358,0.00355,species,Gallalistipes aquisgranensis
