ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,6.653300000000001,species,unclassified
820,0.44405,species,Bacteroides uniformis
821,5.4506,species,Phocaeicola vulgatus
823,0.05942,species,Parabacteroides distasonis
853,1.16828,species,Faecalibacterium prausnitzii
28052,2.51975,species,Lachnospira pectinoschiza
28117,0.22282,species,Alistipes putredinis
28118,0.07919,species,Odoribacter splanchnicus
33025,1.21612,species,Phascolarctobacterium faecium
33039,2.07941,species,[Ruminococcus] torques
39485,2.49676,species,Lachnospira eligens
39486,0.70535,species,Dorea formicigenerans
39488,0.72185,species,Anaerobutyricum hallii
39490,0.72444,species,Eubacterium ramulus
39491,10.14786,species,Agathobacter rectalis
39492,2.68043,species,[Eubacterium] siraeum
40518,19.58569,species,Ruminococcus bromii
40520,1.00033,species,Blautia obeum
46228,2.3198,species,[Ruminococcus] lactaris
47678,0.16982,species,Bacteroides caccae
88431,0.77175,species,Dorea longicatena
105843,0.94054,species,Anaerobutyricum soehngenii
239935,0.2138,species,Akkermansia muciniphila
246787,2.84004,species,Bacteroides cellulosilyticus
291645,0.08288,species,Bacteroides nordii
301301,0.49812,species,Roseburia hominis
328813,0.30848,species,Alistipes onderdonkii
418240,1.34579,species,Blautia wexlerae
487174,0.47958,species,Barnesiella intestinihominis
536633,2.56752,species,Blautia glucerasea
592978,1.83201,species,Mediterraneibacter faecis
649756,1.73889,species,Anaerostipes hadrus
871665,1.96308,species,Blautia faecis
1150298,0.32229,species,Fusicatenibacter saccharivorans
1160721,4.9618,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1519439,0.219,species,Oscillibacter sp. ER4
1715004,0.9719,species,Clostridiales bacterium KLE1615
1737424,1.05117,species,Blautia massiliensis (ex Durand et al. 2017)
1898203,0.08644,species,Lachnospiraceae bacterium
1898204,0.68251,species,Clostridiaceae bacterium
1981510,0.7244,species,Monoglobus pectinilyticus
1982626,0.04298,species,Faecalibacillus intestinalis
2293015,0.227,species,Clostridium sp. AF36-4
2293035,0.41903,species,Clostridium sp. AM49-4BH
2293126,8.4824,species,Roseburia sp. AF02-12
2606633,2.22584,species,Oliverpabstia intestinalis
2763051,0.44339,species,Lachnospira hominis (ex Liu et al. 2021)
2763670,2.24373,species,Wujia chipingensis
2763672,0.68029,species,Simiaoa sunii
2885357,0.01709,species,Hominenteromicrobium mulieris
2981769,0.17101,species,Waltera acetigignens
