ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,9.44277,species,unclassified
562,0.0141,species,Escherichia coli
820,0.00453,species,Bacteroides uniformis
821,0.00777,species,Phocaeicola vulgatus
823,0.00547,species,Parabacteroides distasonis
853,0.7418,species,Faecalibacterium prausnitzii
1302,0.05723,species,Streptococcus gordonii
1304,1.21275,species,Streptococcus salivarius
1305,0.02979,species,Streptococcus sanguinis
1308,4.13065,species,Streptococcus thermophilus
1309,0.03737,species,Streptococcus mutans
1328,0.06278,species,Streptococcus anginosus
1338,0.02359,species,Streptococcus intermedius
1343,0.92606,species,Streptococcus vestibularis
1352,0.00171,species,Enterococcus faecium
1382,0.01265,species,Lancefieldella parvula
1383,0.03082,species,Lancefieldella rimae
1522,0.05825,species,[Clostridium] innocuum
1535,0.0053,species,[Clostridium] leptum
1547,0.17347,species,Thomasclavelia ramosa
1580,0.03043,species,Levilactobacillus brevis
1597,1.23611,species,Lacticaseibacillus paracasei
1655,0.00313,species,Actinomyces naeslundii
1660,0.03869,species,Schaalia odontolytica
1750,0.00036,species,Arachnia propionica
28026,1.62862,species,Bifidobacterium pseudocatenulatum
28052,0.00095,species,Lachnospira pectinoschiza
28116,0.00407,species,Bacteroides ovatus
28118,0.01812,species,Odoribacter splanchnicus
29391,0.02039,species,Gemella morbillorum
33025,0.01616,species,Phascolarctobacterium faecium
33038,0.04968,species,Mediterraneibacter gnavus
33043,0.23025,species,Coprococcus eutactus
35517,0.00015,species,[Eubacterium] brachy
35519,0.01328,species,Mogibacterium timidum
35833,0.0009,species,Bilophila wadsworthia
39485,0.2895,species,Lachnospira eligens
39486,0.12652,species,Dorea formicigenerans
39488,0.29206,species,Anaerobutyricum hallii
39490,0.01701,species,Eubacterium ramulus
39491,0.4551,species,Agathobacter rectalis
39492,0.1219,species,[Eubacterium] siraeum
40519,0.34399,species,Ruminococcus callidus
40520,0.35937,species,Blautia obeum
43675,0.00366,species,Rothia mucilaginosa
45634,0.01704,species,Streptococcus cristatus
46503,0.00034,species,Parabacteroides merdae
52768,0.00472,species,Schaalia georgiae
52769,0.01291,species,Actinomyces gerencseriae
56774,0.01385,species,[Eubacterium] infirmum
61592,0.14238,species,Corynebacterium durum
74426,1.59319,species,Collinsella aerofaciens
76860,0.05799,species,Streptococcus constellatus
82135,0.14538,species,Fannyhessea vaginae
84112,28.44177,species,Eggerthella lenta
86332,0.00686,species,Mogibacterium pumilum
88431,0.11243,species,Dorea longicatena
89014,0.04667,species,Blautia luti
100884,0.00042,species,Coprobacillus cateniformis
102148,0.02718,species,Solobacterium moorei
105843,0.00077,species,Anaerobutyricum soehngenii
113107,0.02862,species,Streptococcus australis
114527,0.06874,species,Mogibacterium diversum
116085,0.0364,species,Coprococcus catus
133926,0.00342,species,Olsenella uli
143393,0.00449,species,[Eubacterium] sulci
166486,0.00013,species,Roseburia intestinalis
172901,0.00955,species,Victivallis vadensis
176090,0.40844,species,Streptococcus sinensis
178339,0.00755,species,Pauljensenia hongkongensis
216816,2.18949,species,Bifidobacterium longum
218538,0.00385,species,Dialister invisus
253257,0.00097,species,Lacrimispora amygdalina
261299,0.00582,species,Intestinibacter bartlettii
270498,0.00889,species,Christensenella hongkongensis
272548,0.02151,species,Actinomyces dentalis
301301,0.00432,species,Roseburia hominis
301302,0.07158,species,Roseburia faecis
310297,0.43409,species,Phocaeicola plebeius
310298,0.03368,species,Phocaeicola coprocola
328814,0.00467,species,Alistipes shahii
341220,0.00514,species,Lactonifactor longoviformis
351091,0.03997,species,Oscillibacter valericigenes
357276,0.01107,species,Phocaeicola dorei
360807,0.00029,species,Roseburia inulinivorans
363265,0.11943,species,Leyella stercorea
410072,0.03629,species,Coprococcus comes
418240,2.23464,species,Blautia wexlerae
437897,0.18135,species,Megamonas funiformis
454154,0.00549,species,Paraprevotella clara
461393,0.02186,species,Actinomyces massiliensis
536633,0.13447,species,Blautia glucerasea
544580,0.0183,species,Actinomyces oris
544581,0.0132,species,Actinomyces johnsonii
592978,0.14804,species,Mediterraneibacter faecis
626932,0.00459,species,Alistipes indistinctus
649756,0.27342,species,Anaerostipes hadrus
671231,0.11392,species,TM7 phylum sp. oral taxon 348
712124,0.00238,species,Actinomyces sp. oral taxon 448
712411,0.1557,species,Olsenella sp. oral taxon 807
712888,0.00255,species,Actinobaculum sp. oral taxon 183
713051,0.0092,species,TM7 phylum sp. oral taxon 349
713052,0.01267,species,TM7 phylum sp. oral taxon 350
745368,0.4891,species,Gemmiger formicilis
871664,0.11991,species,Blautia stercoris
871665,0.17275,species,Blautia faecis
1150298,0.18189,species,Fusicatenibacter saccharivorans
1335613,0.28195,species,Gordonibacter urolithinfaciens
1519439,0.17916,species,Oscillibacter sp. ER4
1628085,0.02737,species,Agathobaculum butyriciproducens
1697794,0.00038,species,Clostridia bacterium UC5.1-1D1
1715004,0.28548,species,Clostridiales bacterium KLE1615
1737424,0.13801,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,1.20906,species,Romboutsia timonensis
1852370,0.02734,species,Prevotellamassilia timonensis
1870997,0.00756,species,Alterileibacterium massiliense
1898203,0.02926,species,Lachnospiraceae bacterium
1898204,0.00622,species,Clostridiaceae bacterium
1982626,3.66607,species,Faecalibacillus intestinalis
