ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,29.53841,species,unclassified
548,0.00041,species,Klebsiella aerogenes
820,0.39622,species,Bacteroides uniformis
821,0.65382,species,Phocaeicola vulgatus
823,0.08924,species,Parabacteroides distasonis
853,5.94665,species,Faecalibacterium prausnitzii
1304,0.02202,species,Streptococcus salivarius
1308,0.28461,species,Streptococcus thermophilus
1318,0.04793,species,Streptococcus parasanguinis
1358,0.00028,species,Lactococcus lactis
1535,0.00968,species,[Clostridium] leptum
1541,0.00085,species,Terrisporobacter mayombei
1584,0.04952,species,Lactobacillus delbrueckii
1660,0.00303,species,Schaalia odontolytica
1680,1.47094,species,Bifidobacterium adolescentis
28052,0.64665,species,Lachnospira pectinoschiza
28111,2.48941,species,Bacteroides eggerthii
28117,1.18747,species,Alistipes putredinis
28118,0.02263,species,Odoribacter splanchnicus
29348,0.03346,species,Thomasclavelia spiroformis
33025,0.68584,species,Phascolarctobacterium faecium
33038,0.045,species,Mediterraneibacter gnavus
33039,0.2048,species,[Ruminococcus] torques
33043,6.00606,species,Coprococcus eutactus
35703,0.00846,species,Citrobacter amalonaticus
39482,0.00432,species,Faecalicatena contorta
39483,0.57116,species,Faecalitalea cylindroides
39485,1.1525,species,Lachnospira eligens
39486,0.26784,species,Dorea formicigenerans
39488,0.02701,species,Anaerobutyricum hallii
39490,0.22195,species,Eubacterium ramulus
39491,2.6716,species,Agathobacter rectalis
39492,3.26336,species,[Eubacterium] siraeum
39496,0.95131,species,Eubacterium ventriosum
40518,8.16581,species,Ruminococcus bromii
40519,0.15947,species,Ruminococcus callidus
40520,1.4852,species,Blautia obeum
46228,1.12628,species,[Ruminococcus] lactaris
46503,0.15707,species,Parabacteroides merdae
55565,0.00672,species,Actinomyces graevenitzii
61171,0.01957,species,Holdemania filiformis
84112,0.19234,species,Eggerthella lenta
84135,0.00639,species,Gemella sanguinis
88431,0.36868,species,Dorea longicatena
89014,0.01672,species,Blautia luti
105843,0.01676,species,Anaerobutyricum soehngenii
106588,0.00557,species,Pseudoflavonifractor capillosus
113107,0.0446,species,Streptococcus australis
114527,0.00528,species,Mogibacterium diversum
116085,0.70971,species,Coprococcus catus
143393,0.00022,species,[Eubacterium] sulci
166486,0.25217,species,Roseburia intestinalis
204516,0.29478,species,Phocaeicola massiliensis
214853,0.0047,species,Anaerofustis stercorihominis
216816,0.64003,species,Bifidobacterium longum
239935,0.66795,species,Akkermansia muciniphila
244366,0.01611,species,Klebsiella variicola
253257,0.08945,species,Lacrimispora amygdalina
261299,0.45262,species,Intestinibacter bartlettii
290055,0.20313,species,Faecalicatena fissicatena
292800,0.0005,species,Flavonifractor plautii
301301,0.0233,species,Roseburia hominis
301302,3.01226,species,Roseburia faecis
310297,0.47166,species,Phocaeicola plebeius
328813,0.0045,species,Alistipes onderdonkii
351091,0.05503,species,Oscillibacter valericigenes
357276,0.07234,species,Phocaeicola dorei
360807,0.4231,species,Roseburia inulinivorans
371601,0.19294,species,Bacteroides xylanisolvens
410072,0.51611,species,Coprococcus comes
418240,0.68284,species,Blautia wexlerae
446660,0.32931,species,Adlercreutzia equolifaciens
471189,0.00848,species,Gordonibacter pamelaeae
474960,0.03723,species,Hydrogenoanaerobacterium saccharovorans
487174,0.24824,species,Barnesiella intestinihominis
487175,0.07456,species,Parasutterella excrementihominis
536633,0.09343,species,Blautia glucerasea
544580,0.00547,species,Actinomyces oris
645466,0.00802,species,Anaerostipes butyraticus
649756,0.69636,species,Anaerostipes hadrus
673271,0.02139,species,Catenibacillus scindens
713054,0.02133,species,TM7 phylum sp. oral taxon 352
745368,0.765,species,Gemmiger formicilis
871664,0.00791,species,Blautia stercoris
871665,1.49359,species,Blautia faecis
936548,0.00215,species,Actinomyces sp. ICM47
1099853,0.01047,species,Coprobacter fastidiosus
1150298,2.67208,species,Fusicatenibacter saccharivorans
1160721,0.49285,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1217282,0.01586,species,Parabacteroides faecis
1234680,0.00235,species,Streptococcus rubneri
1288121,0.05541,species,Alistipes senegalensis
1297617,0.00675,species,Intestinimonas butyriciproducens
1414720,0.00116,species,Clostridium saudiense
1472416,0.00266,species,Butyricimonas faecihominis
1519439,0.77854,species,Oscillibacter sp. ER4
1550024,0.06032,species,Ruthenibacterium lactatiformans
1628085,0.38385,species,Agathobaculum butyriciproducens
1632013,0.04384,species,Drancourtella massiliensis
1653434,0.00108,species,Sellimonas intestinalis
1653435,0.05769,species,Merdimonas faecis
1673717,0.03738,species,Anaeromassilibacillus senegalensis
1673720,0.01646,species,Anaerotruncus massiliensis (ex Togo et al. 2019)
1715004,0.39453,species,Clostridiales bacterium KLE1615
1720200,0.00259,species,Anaerotruncus rubiinfantis
1720313,0.00318,species,Bittarella massiliensis (ex Durand et al. 2017)
1737424,0.21124,species,Blautia massiliensis (ex Durand et al. 2017)
1776392,0.03533,species,Massilimicrobiota timonensis
1852384,0.00159,species,Massiliimalia massiliensis
1870991,0.00855,species,Massilioclostridium coli
1871020,0.00914,species,Clostridium sp. Marseille-P3244
1898203,0.15138,species,Lachnospiraceae bacterium
1898204,1.04653,species,Clostridiaceae bacterium
1898207,0.00268,species,Clostridiales bacterium
1965537,0.0401,species,Flavonifractor sp. An10
1965547,0.00993,species,Lachnoclostridium sp. An118
1965555,0.00995,species,Lachnoclostridium sp. An131
1965560,0.00335,species,Lachnoclostridium sp. An138
1965650,0.01572,species,Alistipes sp. An66
1982626,0.40073,species,Faecalibacillus intestinalis
1987501,0.00289,species,Massiliimalia timonensis
2049045,0.05477,species,Eubacteriaceae bacterium
2086584,0.27912,species,Massilistercora timonensis
2093857,0.23275,species,Dysosmobacter welbionis
