ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,9.54587,species,unclassified
729,0.00312,species,Haemophilus parainfluenzae
818,0.0672,species,Bacteroides thetaiotaomicron
820,0.17659,species,Bacteroides uniformis
821,2.14559,species,Phocaeicola vulgatus
823,0.77328,species,Parabacteroides distasonis
853,3.09048,species,Faecalibacterium prausnitzii
1304,0.21569,species,Streptococcus salivarius
1305,0.002,species,Streptococcus sanguinis
1318,0.06106,species,Streptococcus parasanguinis
1358,0.00046,species,Lactococcus lactis
1535,0.03977,species,[Clostridium] leptum
1660,0.00284,species,Schaalia odontolytica
28052,0.87357,species,Lachnospira pectinoschiza
28116,0.0153,species,Bacteroides ovatus
28117,1.61285,species,Alistipes putredinis
28118,0.14228,species,Odoribacter splanchnicus
31971,0.00502,species,Amedibacillus dolichus
33039,0.00603,species,[Ruminococcus] torques
33043,0.1168,species,Coprococcus eutactus
35833,0.11839,species,Bilophila wadsworthia
39485,2.17862,species,Lachnospira eligens
39486,0.53271,species,Dorea formicigenerans
39488,0.21398,species,Anaerobutyricum hallii
39490,0.04818,species,Eubacterium ramulus
39491,7.63071,species,Agathobacter rectalis
39496,0.13407,species,Eubacterium ventriosum
40519,0.13845,species,Ruminococcus callidus
40520,0.35166,species,Blautia obeum
40545,1.18594,species,Sutterella wadsworthensis
46503,0.10649,species,Parabacteroides merdae
46506,0.20757,species,Bacteroides stercoris
47678,1.16081,species,Bacteroides caccae
55565,0.00282,species,Actinomyces graevenitzii
74426,2.5819,species,Collinsella aerofaciens
84112,0.06088,species,Eggerthella lenta
88431,1.34506,species,Dorea longicatena
102684,0.00108,species,Streptococcus infantarius
105843,0.33459,species,Anaerobutyricum soehngenii
113107,0.00029,species,Streptococcus australis
116085,0.15547,species,Coprococcus catus
165179,29.46616,species,Segatella copri
204516,3.19237,species,Phocaeicola massiliensis
246787,0.01239,species,Bacteroides cellulosilyticus
253257,0.07653,species,Lacrimispora amygdalina
290055,1.68311,species,Faecalicatena fissicatena
291644,0.34101,species,Bacteroides salyersiae
291645,0.00697,species,Bacteroides nordii
292800,0.01739,species,Flavonifractor plautii
301301,0.08926,species,Roseburia hominis
