ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,28.45398,species,unclassified
562,0.01937,species,Escherichia coli
729,0.00171,species,Haemophilus parainfluenzae
817,0.01939,species,Bacteroides fragilis
818,0.19672,species,Bacteroides thetaiotaomicron
820,0.68374,species,Bacteroides uniformis
821,1.43612,species,Phocaeicola vulgatus
853,1.76948,species,Faecalibacterium prausnitzii
1304,0.08526,species,Streptococcus salivarius
1308,0.00449,species,Streptococcus thermophilus
1535,0.05329,species,[Clostridium] leptum
1547,0.00741,species,Thomasclavelia ramosa
1660,0.00817,species,Schaalia odontolytica
1680,2.33679,species,Bifidobacterium adolescentis
1681,1.77729,species,Bifidobacterium bifidum
1686,3.18404,species,Bifidobacterium catenulatum
28052,0.20491,species,Lachnospira pectinoschiza
28116,0.83952,species,Bacteroides ovatus
28117,1.58753,species,Alistipes putredinis
28118,0.55954,species,Odoribacter splanchnicus
29466,0.01599,species,Veillonella parvula
33038,0.16624,species,Mediterraneibacter gnavus
33039,0.02759,species,[Ruminococcus] torques
35833,0.08648,species,Bilophila wadsworthia
39482,0.02295,species,Faecalicatena contorta
39483,0.02026,species,Faecalitalea cylindroides
39485,0.09235,species,Lachnospira eligens
39486,0.28168,species,Dorea formicigenerans
39488,0.79303,species,Anaerobutyricum hallii
39490,0.11308,species,Eubacterium ramulus
39491,2.07379,species,Agathobacter rectalis
39492,0.33845,species,[Eubacterium] siraeum
39496,0.63968,species,Eubacterium ventriosum
40518,5.77395,species,Ruminococcus bromii
40519,0.44642,species,Ruminococcus callidus
40520,0.22738,species,Blautia obeum
40545,0.25719,species,Sutterella wadsworthensis
46228,0.04523,species,[Ruminococcus] lactaris
46503,0.69378,species,Parabacteroides merdae
61171,0.02335,species,Holdemania filiformis
74426,1.02342,species,Collinsella aerofaciens
84112,0.01232,species,Eggerthella lenta
88431,1.20387,species,Dorea longicatena
100884,0.0003,species,Coprobacillus cateniformis
105843,0.02953,species,Anaerobutyricum soehngenii
106588,0.02039,species,Pseudoflavonifractor capillosus
116085,0.40391,species,Coprococcus catus
166486,0.21432,species,Roseburia intestinalis
214856,0.01371,species,Alistipes finegoldii
216816,1.65672,species,Bifidobacterium longum
218538,1.99458,species,Dialister invisus
239935,0.06735,species,Akkermansia muciniphila
253257,0.01352,species,Lacrimispora amygdalina
261299,0.28075,species,Intestinibacter bartlettii
290055,0.14468,species,Faecalicatena fissicatena
301301,0.01383,species,Roseburia hominis
301302,0.25332,species,Roseburia faecis
328813,3.61774,species,Alistipes onderdonkii
328814,0.87215,species,Alistipes shahii
341225,0.066,species,Thomasclavelia saccharogumia
342942,0.00114,species,Mediterraneibacter glycyrrhizinilyticus
351091,0.15258,species,Oscillibacter valericigenes
357276,0.50566,species,Phocaeicola dorei
358743,0.00012,species,Enterocloster citroniae
360807,0.66481,species,Roseburia inulinivorans
410072,1.84738,species,Coprococcus comes
418240,2.9165,species,Blautia wexlerae
423477,0.01063,species,Veillonella rogosae
446660,0.08515,species,Adlercreutzia equolifaciens
474960,0.02535,species,Hydrogenoanaerobacterium saccharovorans
487174,1.90874,species,Barnesiella intestinihominis
487175,0.00201,species,Parasutterella excrementihominis
536633,0.2202,species,Blautia glucerasea
544581,0.00367,species,Actinomyces johnsonii
592978,2.36155,species,Mediterraneibacter faecis
626932,0.01568,species,Alistipes indistinctus
649756,0.9484,species,Anaerostipes hadrus
673271,0.00279,species,Catenibacillus scindens
745368,0.09748,species,Gemmiger formicilis
871665,0.55709,species,Blautia faecis
936548,0.00106,species,Actinomyces sp. ICM47
944160,0.01909,species,Blastocystis sp. subtype 2
999425,0.00104,species,Streptococcus sp. F0442
1099853,0.08544,species,Coprobacter fastidiosus
1150298,2.6007,species,Fusicatenibacter saccharivorans
1160721,3.18237,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1297617,0.0097,species,Intestinimonas butyriciproducens
1414720,0.01451,species,Clostridium saudiense
1470347,0.39984,species,Alistipes ihumii
1473216,0.06281,species,Senegalimassilia anaerobia
1519439,0.53341,species,Oscillibacter sp. ER4
1550024,0.08872,species,Ruthenibacterium lactatiformans
1628085,0.05499,species,Agathobaculum butyriciproducens
1702285,0.00039,species,Intestinimonas gabonensis
1715004,0.1124,species,Clostridiales bacterium KLE1615
1720200,0.00122,species,Anaerotruncus rubiinfantis
1737424,1.65938,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.18524,species,Romboutsia timonensis
1841868,0.0002,species,Provencibacterium massiliense
1871020,0.01451,species,Clostridium sp. Marseille-P3244
1898203,0.07219,species,Lachnospiraceae bacterium
1898204,0.23365,species,Clostridiaceae bacterium
1903263,5e-05,species,Traorella massiliensis
1982626,0.30117,species,Faecalibacillus intestinalis
1987501,0.01116,species,Massiliimalia timonensis
2049045,0.1425,species,Eubacteriaceae bacterium
2054177,0.00532,species,Christensenellaceae bacterium
2093857,0.00057,species,Dysosmobacter welbionis
2108523,0.00507,species,Lawsonibacter asaccharolyticus
2126740,0.03309,species,Clostridium fessum
2137581,0.08049,species,Ellagibacter isourolithinifaciens
2211183,0.19758,species,Evtepia gabavorous
2292041,0.04846,species,Dorea sp. AF36-15AT
2292046,0.01994,species,Lachnotalea sp. AF33-28
2292182,0.021,species,Clostridiaceae bacterium AF18-31LB
2292205,0.00408,species,Clostridium sp. AF20-17LB
2292271,0.01803,species,Lachnospiraceae bacterium AM48-27BH
2292304,0.01887,species,Clostridium sp. AM33-3
2293015,0.24789,species,Clostridium sp. AF36-4
2293024,0.01619,species,Clostridium sp. AM22-11AC
2293028,0.0021,species,Clostridium sp. AM29-11AC
2293035,0.00379,species,Clostridium sp. AM49-4BH
2293107,0.28156,species,Eubacterium sp. AF34-35BH
2316025,0.01129,species,Mediterraneibacter butyricigenes
2485925,0.05618,species,Oscillospiraceae bacterium
2500537,2.91854,species,Candidatus Cibiobacter qucibialis
2508949,0.0841,species,Candidatus Borkfalkia ceftriaxoniphila
2585118,1.01866,species,Alistipes communis
2592640,0.02061,species,Blautia sp. MCC283
2606633,2.20205,species,Oliverpabstia intestinalis
2606640,0.02241,species,Victivallis lenta
2714355,0.22746,species,Vescimonas coprocola
2735723,0.01215,species,Turicibacter bilis
2763037,0.01882,species,Clostridium lentum
2763051,0.11486,species,Lachnospira hominis (ex Liu et al. 2021)
2763644,0.0616,species,Zhenpiania hominis
2763645,0.01354,species,Lentihominibacter hominis
2763654,0.00092,species,Luoshenia tenuis
2763655,0.00025,species,Gehongia tenuis
2763656,0.0296,species,Guopingia tenuis
2763658,0.00902,species,Ligaoa zhengdingensis
2763661,0.05979,species,Bianquea renquensis
2763662,0.00195,species,Yeguia hominis
2763667,0.00095,species,Wansuia hejianensis
2763670,0.51999,species,Wujia chipingensis
2763672,0.64948,species,Simiaoa sunii
2764322,0.01274,species,Hydrogeniiclostridium mannosilyticum
2764712,0.41769,species,Lentihominibacter faecis
2787103,0.0609,species,Clostridium sp. 1001270J_160509_D11
2830654,0.00074,species,Clostridiaceae bacterium Marseille-Q3526
2830655,0.04543,species,Oscillospiraceae bacterium Marseille-Q3528
2830657,0.03804,species,Clostridiaceae bacterium Marseille-Q4143
2841521,0.00434,species,Anaerotignum sp. MSJ-24
2841526,0.13896,species,Oscillibacter sp. MSJ-31
2850323,0.00074,species,Diplocloster agilis
2881266,0.13617,species,Faecalibacterium butyricigenerans
2881276,0.15498,species,Fusicatenibacter faecihominis
2883295,0.00015,species,bacterium 210917-DFI.7.65
2885350,0.32469,species,Gallintestinimicrobium propionicum
2885357,0.11289,species,Hominenteromicrobium mulieris
2929491,0.01345,species,Faecalibacterium wellingii
2981769,0.09513,species,Waltera acetigignens
