ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,28.3941,species,unclassified
562,0.00163,species,Escherichia coli
729,0.01935,species,Haemophilus parainfluenzae
736,0.00401,species,Haemophilus paraphrohaemolyticus
739,0.00219,species,Aggregatibacter segnis
818,0.02656,species,Bacteroides thetaiotaomicron
820,0.01479,species,Bacteroides uniformis
821,0.05756,species,Phocaeicola vulgatus
823,0.05321,species,Parabacteroides distasonis
850,0.19746,species,Fusobacterium mortiferum
853,7.01744,species,Faecalibacterium prausnitzii
901,0.09455,species,Desulfovibrio piger
1302,0.00404,species,Streptococcus gordonii
1303,0.00233,species,Streptococcus oralis
1304,0.11972,species,Streptococcus salivarius
1305,0.00096,species,Streptococcus sanguinis
1343,0.00088,species,Streptococcus vestibularis
1502,0.01571,species,Clostridium perfringens
1735,0.10711,species,Holdemanella biformis
2173,0.01231,species,Methanobrevibacter smithii
13335,0.40301,species,Anaerobiospirillum succiniciproducens
28037,0.00744,species,Streptococcus mitis
28052,2.43058,species,Lachnospira pectinoschiza
28111,0.00176,species,Bacteroides eggerthii
28116,9e-05,species,Bacteroides ovatus
28117,0.02267,species,Alistipes putredinis
28118,0.1047,species,Odoribacter splanchnicus
29466,0.01523,species,Veillonella parvula
33025,0.0032,species,Phascolarctobacterium faecium
33038,0.19485,species,Mediterraneibacter gnavus
33043,1.26954,species,Coprococcus eutactus
35833,0.00109,species,Bilophila wadsworthia
39485,1.44027,species,Lachnospira eligens
39486,0.07138,species,Dorea formicigenerans
39488,0.04456,species,Anaerobutyricum hallii
39490,0.03697,species,Eubacterium ramulus
39491,2.59999,species,Agathobacter rectalis
39496,0.03732,species,Eubacterium ventriosum
40518,0.24436,species,Ruminococcus bromii
40519,0.14192,species,Ruminococcus callidus
40520,0.09616,species,Blautia obeum
40545,0.88865,species,Sutterella wadsworthensis
43675,0.00223,species,Rothia mucilaginosa
45634,0.00032,species,Streptococcus cristatus
45851,1.95966,species,Eshraghiella crossota
46124,0.00037,species,Granulicatella adiacens
46503,0.01704,species,Parabacteroides merdae
46506,0.0005,species,Bacteroides stercoris
47678,6e-05,species,Bacteroides caccae
74426,0.0137,species,Collinsella aerofaciens
84135,0.00217,species,Gemella sanguinis
88431,0.43772,species,Dorea longicatena
105843,0.01661,species,Anaerobutyricum soehngenii
113107,0.01306,species,Streptococcus australis
116085,0.09314,species,Coprococcus catus
154288,0.00293,species,Turicibacter sanguinis
165179,33.57536,species,Segatella copri
172901,0.00062,species,Victivallis vadensis
208224,0.00055,species,Enterobacter kobei
209880,0.23039,species,Allisonella histaminiformans
253257,0.06387,species,Lacrimispora amygdalina
261299,0.12159,species,Intestinibacter bartlettii
290055,0.00944,species,Faecalicatena fissicatena
292800,0.02179,species,Flavonifractor plautii
301301,0.10809,species,Roseburia hominis
301302,0.23431,species,Roseburia faecis
310298,0.00044,species,Phocaeicola coprocola
328814,0.0018,species,Alistipes shahii
351091,0.22321,species,Oscillibacter valericigenes
358743,0.003,species,Enterocloster citroniae
360807,0.11443,species,Roseburia inulinivorans
363265,3.20516,species,Leyella stercorea
371601,0.01027,species,Bacteroides xylanisolvens
410072,0.06122,species,Coprococcus comes
418240,0.21095,species,Blautia wexlerae
423477,0.00424,species,Veillonella rogosae
474960,0.05022,species,Hydrogenoanaerobacterium saccharovorans
487174,0.00254,species,Barnesiella intestinihominis
487175,0.00406,species,Parasutterella excrementihominis
536633,0.02939,species,Blautia glucerasea
544644,0.00307,species,Butyricimonas synergistica
544645,0.01004,species,Butyricimonas virosa
572010,0.01637,species,Slackia isoflavoniconvertens
592978,0.5699,species,Mediterraneibacter faecis
626940,0.03184,species,Phascolarctobacterium succinatutens
649756,0.28504,species,Anaerostipes hadrus
745368,0.08934,species,Gemmiger formicilis
871664,0.06168,species,Blautia stercoris
