ncbi_taxon_id,relative_abundance,taxon_rank_level,scientific_name
-1,5.28686,species,unclassified
562,1.09818,species,Escherichia coli
573,0.03369,species,Klebsiella pneumoniae
729,0.10347,species,Haemophilus parainfluenzae
817,4.28098,species,Bacteroides fragilis
818,0.35839,species,Bacteroides thetaiotaomicron
820,11.95743,species,Bacteroides uniformis
821,11.25276,species,Phocaeicola vulgatus
823,0.01477,species,Parabacteroides distasonis
853,4.19705,species,Faecalibacterium prausnitzii
1304,0.3476,species,Streptococcus salivarius
1305,0.00379,species,Streptococcus sanguinis
1309,0.01121,species,Streptococcus mutans
1318,0.01132,species,Streptococcus parasanguinis
1512,0.06644,species,[Clostridium] symbiosum
1522,0.00266,species,[Clostridium] innocuum
1531,0.03782,species,Enterocloster clostridioformis
1535,0.19107,species,[Clostridium] leptum
1544,0.00765,species,Faecalicatena orotica
1547,0.05765,species,Thomasclavelia ramosa
1597,0.01206,species,Lacticaseibacillus paracasei
1685,12.19405,species,Bifidobacterium breve
1689,0.00875,species,Bifidobacterium dentium
28026,0.00894,species,Bifidobacterium pseudocatenulatum
28037,0.02405,species,Streptococcus mitis
28052,1.70123,species,Lachnospira pectinoschiza
28116,6.42934,species,Bacteroides ovatus
28117,4.91773,species,Alistipes putredinis
28128,0.00237,species,Prevotella corporis
29347,0.00723,species,[Clostridium] scindens
29348,0.36816,species,Thomasclavelia spiroformis
29361,0.23855,species,[Clostridium] nexile
29466,0.0668,species,Veillonella parvula
33025,0.27475,species,Phascolarctobacterium faecium
33038,0.02011,species,Mediterraneibacter gnavus
33039,0.00413,species,[Ruminococcus] torques
35833,0.14865,species,Bilophila wadsworthia
39482,0.02613,species,Faecalicatena contorta
39485,0.84398,species,Lachnospira eligens
39491,0.01444,species,Agathobacter rectalis
39777,0.01383,species,Veillonella atypica
39778,0.03625,species,Veillonella dispar
40518,1.29116,species,Ruminococcus bromii
40520,0.1513,species,Blautia obeum
45634,0.00146,species,Streptococcus cristatus
46228,0.25679,species,[Ruminococcus] lactaris
46503,8.58423,species,Parabacteroides merdae
46506,0.00669,species,Bacteroides stercoris
47671,0.00128,species,Lautropia mirabilis
47678,0.00976,species,Bacteroides caccae
53442,0.03043,species,Eubacterium callanderi
84112,0.01704,species,Eggerthella lenta
154046,0.21376,species,Hungatella hathewayi
165179,0.02437,species,Segatella copri
169435,0.00925,species,Anaerotruncus colihominis
204516,0.00211,species,Phocaeicola massiliensis
208224,0.01548,species,Enterobacter kobei
208479,0.24851,species,Enterocloster bolteae
216816,2.85404,species,Bifidobacterium longum
218538,0.15122,species,Dialister invisus
239935,0.45367,species,Akkermansia muciniphila
244366,0.0402,species,Klebsiella variicola
246787,1.09425,species,Bacteroides cellulosilyticus
261299,0.35392,species,Intestinibacter bartlettii
291645,0.00097,species,Bacteroides nordii
292800,0.08658,species,Flavonifractor plautii
301302,2.33297,species,Roseburia faecis
310297,0.00652,species,Phocaeicola plebeius
310298,0.01046,species,Phocaeicola coprocola
310514,0.01701,species,Hallella multisaccharivorax
328813,0.95232,species,Alistipes onderdonkii
333367,0.08436,species,Enterocloster asparagiformis
357276,0.03514,species,Phocaeicola dorei
358742,0.01309,species,Enterocloster aldenensis
358743,0.03791,species,Enterocloster citroniae
360807,0.12977,species,Roseburia inulinivorans
371601,0.00721,species,Bacteroides xylanisolvens
418240,1.16315,species,Blautia wexlerae
460384,0.00971,species,Enterocloster lavalensis
474960,0.07215,species,Hydrogenoanaerobacterium saccharovorans
574930,0.01743,species,Parabacteroides gordonii
592978,0.32788,species,Mediterraneibacter faecis
649756,1.20368,species,Anaerostipes hadrus
671231,0.04669,species,TM7 phylum sp. oral taxon 348
713054,0.09641,species,TM7 phylum sp. oral taxon 352
745368,0.96865,species,Gemmiger formicilis
871665,0.0098,species,Blautia faecis
936548,0.00572,species,Actinomyces sp. ICM47
1034346,0.00885,species,Dielma fastidiosa
1150298,0.31162,species,Fusicatenibacter saccharivorans
1160721,0.04349,species,Ruminococcus bicirculans (ex Wegman et al. 2014)
1414720,0.92866,species,Clostridium saudiense
1432052,0.0602,species,Eisenbergiella tayi
1468449,0.04115,species,Holdemania massiliensis
1550024,0.07173,species,Ruthenibacterium lactatiformans
1653434,0.75077,species,Sellimonas intestinalis
1673717,0.04207,species,Anaeromassilibacillus senegalensis
1673721,0.07485,species,Intestinimonas massiliensis (ex Afouda et al. 2020)
1697794,0.00039,species,Clostridia bacterium UC5.1-1D1
1737424,0.14844,species,Blautia massiliensis (ex Durand et al. 2017)
1776391,0.36691,species,Romboutsia timonensis
1776392,0.01068,species,Massilimicrobiota timonensis
1796635,0.01965,species,Longicatena caecimuris
1812935,0.01209,species,Enterobacter roggenkampii
1852384,0.00973,species,Massiliimalia massiliensis
1898203,0.01829,species,Lachnospiraceae bacterium
1898207,0.14701,species,Clostridiales bacterium
1917870,0.00821,species,Enterocloster hominis (ex Hitch et al. 2024)
1965547,0.05024,species,Lachnoclostridium sp. An118
1982626,1.23121,species,Faecalibacillus intestinalis
1986206,0.0002,species,Candidatus Nanosynsacchari sp. TM7_ANC_38.39_G1_1
2041842,0.0032,species,Neobittarella massiliensis (ex Bilen et al. 2018)
2049045,0.04862,species,Eubacteriaceae bacterium
2093857,0.28439,species,Dysosmobacter welbionis
2126740,0.64966,species,Clostridium fessum
2292041,0.01309,species,Dorea sp. AF36-15AT
2292206,0.46911,species,Clostridium sp. AF27-2AA
2293015,0.01169,species,Clostridium sp. AF36-4
2293035,0.31491,species,Clostridium sp. AM49-4BH
2293104,0.14727,species,Eubacterium sp. AF16-48
2316025,0.07066,species,Mediterraneibacter butyricigenes
2479838,0.00035,species,Clostridium transplantifaecale
2500537,0.02753,species,Candidatus Cibiobacter qucibialis
2508949,0.04614,species,Candidatus Borkfalkia ceftriaxoniphila
2518605,0.02141,species,Segatella hominis
2548455,0.00101,species,Clostridium cuniculi
2592640,0.39389,species,Blautia sp. MCC283
2692629,0.02287,species,Copranaerobaculum intestinale
2714355,0.20265,species,Vescimonas coprocola
2735723,0.3335,species,Turicibacter bilis
2739389,0.01168,species,Phocaeicola faecicola
2763051,0.00147,species,Lachnospira hominis (ex Liu et al. 2021)
2763672,0.0363,species,Simiaoa sunii
2764322,0.00843,species,Hydrogeniiclostridium mannosilyticum
2779352,0.03053,species,Pseudoflavonifractor gallinarum
2787103,0.52344,species,Clostridium sp. 1001270J_160509_D11
2830654,0.18918,species,Clostridiaceae bacterium Marseille-Q3526
2830656,0.43071,species,Eubacteriaceae bacterium Marseille-Q4139
2841037,0.03044,species,Claveliimonas bilis
2841532,0.01464,species,Intestinimonas sp. MSJ-38
2850323,0.00691,species,Diplocloster agilis
2885350,0.02934,species,Gallintestinimicrobium propionicum
